time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,237.45497372194117,19.62519794541062,9.759838191778659,601.7367500745517,2.0108118146817424,58.0,0.3946160404737153
1,235.44640591007584,21.089930462425603,9.500530497278238,629.4668693640939,2.219868718748659,64.0,0.37404098193115515
2,249.35922606141222,18.983218599757965,9.377328520486449,559.2408056197033,2.0243738457371663,69.0,0.44588882562869037
3,249.88771631908193,18.980720607563544,9.375575045043336,559.062656201831,2.024486019937331,81.0,0.4469762262726922
4,247.3229300736782,18.353138159273996,9.586564124818509,552.742919690357,1.914464652853032,74.0,0.4474465818797406
5,249.24678919433566,18.877511513243,9.81224120469786,581.9193947543616,1.9238735697003566,67.0,0.42831840877128197
6,263.65808518206944,18.399286389006473,10.329910131104759,597.1004455863942,1.7811661626758717,70.0,0.4415640402397269
7,267.8641142168373,17.494039236859695,10.439787721736312,573.7618087145715,1.6757083288615127,78.0,0.4668559498878938
8,258.13448307982515,18.074957725487103,10.305093841014738,585.1660398193566,1.753982836483056,70.0,0.44113032116407924
9,246.37699301437854,17.451640608247835,10.018939216281101,549.2978197273527,1.7418651048294966,74.0,0.4485308045400021
10,255.77496378738783,18.203251264141453,10.161454753508124,581.1051497800833,1.7914020881564219,75.0,0.4401526365481097
11,246.19761440906035,18.95202106060884,10.293505189630137,612.8704624295484,1.8411630160444712,68.0,0.40171231851031103
12,265.43029387327744,18.085126962753222,10.120572177312953,575.011461179471,1.7869668479114473,75.0,0.46160870137931403
13,252.87331335793814,17.26740937901696,10.165681309300522,551.459406080024,1.698598338236229,77.0,0.458552906288161
14,250.70542013912487,18.296878047354806,10.16581228485722,584.3444885055715,1.7998441771947187,66.0,0.4290370236575518
15,258.0367648385098,18.109187546268625,9.460752848876686,538.23822352247,1.9141381067172476,73.0,0.47940995931095826
16,258.31265318615834,18.07238067846568,9.73803356951917,552.8871623748843,1.8558552452554375,75.0,0.4672068204235313
17,262.13219683442105,19.002876837810522,10.05141226294939,600.062258727961,1.890567846655461,77.0,0.43684166604662106
18,267.5500900532346,18.644630206644894,9.716195590437765,569.1148206893828,1.918922898690315,82.0,0.4701161880288842
19,265.26011440906035,17.216484167366296,10.605402306813419,573.6163054589448,1.6233692668410704,78.0,0.4624347527862346
20,275.53016760743066,18.381738102958206,10.235294851256956,591.0671252407451,1.795916812372124,79.0,0.46615715177054656
21,271.24019196325605,18.430500361870482,10.45189809060665,605.1766530114412,1.7633639557234468,73.0,0.4482000265765839
22,265.7587209980235,18.832958618478994,10.335454428599828,611.502168187788,1.8221703504748892,75.0,0.4345998016419311
