time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,223.51531822910357,13.477238162156329,8.990819739330139,380.67123944119265,1.4989999302511265,78.0,0.5871610331193222
1,223.19101717798137,13.681646384556586,9.170086934050365,394.1501417108944,1.4919865518127096,80.0,0.5662588784293524
2,244.54533265037537,13.568416562908343,9.10543009838034,388.13204968422787,1.4901455962329415,90.0,0.6300570459185987
3,236.74126970967552,13.296804242656776,8.721290019693194,364.3156909940863,1.5246373200102046,85.0,0.6498245218691895
4,236.61182797143368,13.121452568509387,7.991666202558288,329.43453399270516,1.641891970451538,86.0,0.7182362610978517
5,243.2760415338066,13.574773706823697,7.732770458848628,329.77489440925444,1.7554864429332764,85.0,0.7377033414553936
6,241.2867648385101,13.22379799119396,7.994271118070018,332.11229352504324,1.6541593093213052,86.0,0.726521630011012
7,222.94685232725973,12.938607443841928,8.03510996843931,326.6098169181886,1.6102589130282985,77.0,0.682609158631337
8,246.16252692031134,12.466127186054472,8.303222212765895,325.1831898763165,1.5013601788096511,86.0,0.7569964702478603
9,241.713541533807,12.5790432483247,8.371156106278814,330.81327118617423,1.5026649949688247,91.0,0.7306645850908928
10,246.35339091213413,12.28760164652778,8.789384507048387,339.2934377112452,1.3980047905145234,88.0,0.7260776765207954
11,263.8826432516047,12.317821272979693,9.123656269983012,353.0633893816969,1.3500970343989764,95.0,0.7474086840715198
12,266.99400237226223,12.732303758042791,9.338459546154594,373.53569189862463,1.3634265582149168,85.0,0.71477507548254
13,260.0672256769659,12.44808897609034,9.320951211598526,364.51280673318905,1.3354955619336961,88.0,0.7134652634230386
14,264.2573275869873,12.211632003424052,9.499395254467052,364.43454676630665,1.2855167804162673,95.0,0.7251160185876727
15,266.41005576285573,12.190082577294563,9.222323887456426,353.18064132553747,1.321801611617076,100.0,0.754316699700699
16,249.24539578329927,12.098374238848494,9.480359934487923,360.331071653221,1.2761513615993296,77.0,0.6917121930111276
17,255.63892481806667,12.776316945462346,9.484639060727917,380.69428570372486,1.3470535740641882,79.0,0.6715071237423762
18,260.05313838043946,12.519130984041045,9.579874439944176,376.77655683958227,1.306815769092063,82.0,0.6902051989693208
19,259.0154489816691,12.72398295416298,9.817238057622754,392.43006618408015,1.2960858114552123,80.0,0.6600295729129245
20,257.1441286381095,13.827076416206811,9.857323757083712,428.1926976336182,1.4027211398296966,81.0,0.600533661735012
21,268.9374682741063,14.228833900926949,9.85483388327158,440.5229008983221,1.443843099687369,75.0,0.6104959985637166
22,290.74736636408403,14.744952235002474,10.28910135860104,476.6182725033974,1.4330651162918737,90.0,0.6100214430239066
23,286.33759453995293,14.683408468333186,10.378868550564029,478.769818286685,1.4147407683986162,82.0,0.5980694346285952
24,303.04178374650024,14.66344784322531,10.717369200255659,493.71254587360954,1.3681947098431133,90.0,0.6138020722367443
25,315.1523807853567,15.33311336090804,10.46343312881226,504.0277203822802,1.4653998522422396,100.0,0.6252679526164338
26,312.23340982012405,14.356565573052006,11.109788879653113,501.07904113732184,1.2922446797657121,104.0,0.6231220709440046
27,296.0862011289163,14.72108281054907,11.379746254723383,526.286471925952,1.2936213585991692,86.0,0.5625951205726134
28,285.9367061923047,14.820541730665118,10.908960949757667,507.92236751556084,1.3585658431561571,88.0,0.5629535623542798
29,277.58911870355587,14.592306884468025,11.390725281472545,522.1859771202421,1.2810691614346084,79.0,0.5315905268739844
30,292.1915943477296,14.403247435304516,11.751916379491723,531.7640664012993,1.2256084003830756,84.0,0.5494760041330534
31,304.8610117301458,14.484054822685188,12.280726592902607,558.8099049217252,1.1794135072639715,86.0,0.5455540588043959
