time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,270.3624051411829,18.90963040991014,13.46993260581797,800.1996113791652,1.4038400163741458,60.0,0.33786870337915575
1,278.4811235747212,18.762824798477432,13.146611433370053,774.929016422562,1.4271985517767523,68.0,0.3593633967409318
2,272.48036149291977,19.372058387770245,13.543599674993636,824.2515079568502,1.4303478286897422,63.0,0.33057914830916413
3,272.83131297349183,19.413097182114175,13.396320320987359,817.0153663524568,1.44913653279107,62.0,0.33393657476913796
4,278.3357547117331,19.68137191157684,13.550993241339448,837.8694766648662,1.4523933088192902,66.0,0.3321946466168534
5,263.1762985522196,18.975945591238975,12.994946333222327,774.6897136519239,1.4602557874922408,62.0,0.33971833356556924
6,258.7702063845283,19.308118954742145,13.629624325787852,826.7490870164501,1.4166288441428523,65.0,0.3129972690001646
7,246.8256627362655,18.846846173903398,13.212631074332444,782.3081726927533,1.4264264299724736,67.0,0.3155095029707746
8,240.29165299393532,18.256011075722114,13.681548929652223,784.6771955067354,1.3343526503900147,63.0,0.30622994317906455
9,256.7769343681736,18.218802898351804,13.483054879893789,771.7169022598657,1.3512370201444526,69.0,0.33273462537393966
10,255.3224294970088,17.97181853566837,13.084821132722196,738.7707425247319,1.373485992156583,69.0,0.34560441392745245
11,270.2544100123481,18.980655500900752,12.894350197871244,768.8834988695636,1.4720133399226516,72.0,0.3514894134282821
12,267.1098032311615,18.43674472019354,13.009567087168044,753.5237757832582,1.4171681960407876,79.0,0.3544809225873615
13,256.344191771033,18.429550771356876,12.831979451833574,742.947759618211,1.4362204085920243,66.0,0.3450366307084151
14,260.7879733374949,17.609458205892285,12.474495370984187,690.1108460957661,1.411636918544383,71.0,0.3778928773730729
15,256.080104474507,17.640408040705733,12.618750515391046,699.3182358364943,1.3979520412254596,70.0,0.3661853664779598
16,255.41328900211226,17.548376729038612,12.97071320603357,715.0734917870866,1.352923039025769,67.0,0.357184669737641
17,258.55865786510014,17.057243691646015,12.821423735896524,687.0604986826144,1.3303704832631293,69.0,0.3763258961341344
18,245.37959492440015,16.778362132709663,12.820480349900167,675.7775091588318,1.308715560945446,70.0,0.3631070753299178
19,232.80376970967555,15.568636037682584,12.980007835069985,634.8562407948341,1.1994319445338486,67.0,0.3667031285983854
20,246.55789578329924,16.00276697542492,12.197994441400668,613.2441092343414,1.3119178773447087,67.0,0.40205505779930956
21,255.1962209980239,17.0435869054149,12.474101935764441,667.9134065174754,1.366317751224183,70.0,0.3820798003271505
22,259.05345404505744,17.402071049898677,12.670930050585094,692.7225153203759,1.3733854563497585,74.0,0.3739642473223904
23,257.1995849898466,17.920247071446614,12.93376528885207,728.1466256643458,1.385539838649501,68.0,0.3532249905782136
24,265.08791020457124,17.928659160395707,12.95711702452561,729.8037067562178,1.3836919992664893,73.0,0.3632317947284977
25,266.094191771033,18.59875047658822,13.443818821191508,785.5182718498107,1.3834425116820963,71.0,0.3387498436470611
26,270.6582159346354,17.723270776239257,13.156508711997969,732.5451595872075,1.3471104807673382,70.0,0.36947649218944056
27,267.0698275869871,17.614291082113283,13.427800056300722,743.0531976865204,1.311777879344289,66.0,0.35942221689981696
28,267.058788617666,17.812044808990535,13.356990314682362,747.4329900674326,1.3335373006455697,70.0,0.3573013128488913
29,269.47852166469977,18.24444545008648,13.126566909713935,752.3703922689587,1.389887056956622,76.0,0.35817268254273105
30,269.0679877587669,18.261042262297252,13.064137915877575,749.4733432959544,1.3977992562451127,72.0,0.35900941663313635
31,269.3323907199104,18.305537634296183,13.21600464900502,760.0331657236297,1.3851037526439076,65.0,0.3543692602723175
32,278.59019644997494,18.237438004147972,13.361333175952709,765.5322565397964,1.3649414892947298,75.0,0.36391699248468223
33,277.4419100123479,18.71693295402804,13.30655706502154,782.4385834222923,1.4065947233810432,75.0,0.3545861820858199
34,288.4808079101032,19.060105605092634,12.905588984404256,772.7748952058513,1.4768876978901,75.0,0.37330509790080313
35,280.93899243770903,19.00225510269402,13.138096188501988,784.3094612320585,1.4463476922420573,72.0,0.35819916286154024
36,276.74184687942454,19.37396284204799,13.354248901679941,812.8076859517361,1.4507714349708414,67.0,0.3404764148549861
37,286.04546340294115,19.924353261280523,13.48316406248562,843.9678926769252,1.4777208946612395,72.0,0.3389293193318679
38,284.9570750552925,19.200976368970913,13.4698456629882,812.5232658321758,1.4254785726112988,75.0,0.35070635763696334
39,293.080997308874,19.21219550875407,13.55586793108237,818.1900603377061,1.4172604518152805,70.0,0.35820649934063664
40,303.9183079101031,19.762598114863437,13.627357475732936,846.068566670249,1.4502149921623395,66.0,0.3592123852398759
41,296.92642930478513,20.140502963093798,13.53205148310068,856.216959704363,1.4883554787125952,76.0,0.3467887734988439
42,291.15790027001736,19.42238425552227,13.520771404465584,824.9998791962773,1.4364849219407354,77.0,0.35291871867140895
43,279.7599294970084,19.138238786864406,13.733533346012043,825.722517495367,1.3935407811436804,68.0,0.338806225541231
44,273.817987758767,18.803579367073315,13.707813752135799,809.7642424103581,1.3717416728209888,68.0,0.3381453186222643
45,269.29133732931746,18.593497257834848,13.54669802289321,791.3059049505833,1.3725482937918017,68.0,0.34031255882784617
46,271.6519343681735,18.000021226217452,13.519273078182229,764.4977832381954,1.3314341031594648,68.0,0.35533384180335104
47,267.42522080580073,18.116452491289948,13.20781657413621,751.7164620543772,1.3716462815486035,73.0,0.35575277954529605
48,269.3875314070299,18.91273567923793,13.130344680172454,780.1540231458739,1.440383793412309,75.0,0.34530044505924384
49,279.70187123524977,18.899818198499588,13.085254025787458,776.9438930519825,1.4443600530225256,77.0,0.36000266394594843
50,290.3069487894457,19.071657145884217,13.28742806844141,796.1212751199107,1.4353159277814467,75.0,0.36465166534548404
51,294.3495263436415,19.181983595360574,13.365081738883111,805.4062716666075,1.435231296757005,75.0,0.36546713962699995
52,304.31183694487083,19.608858416560487,13.577590137372972,836.4209036476747,1.4442075668926078,82.0,0.36382619757319695
53,318.18131746021,19.614033142925166,13.82596376299707,851.9462424856232,1.4186376790180022,83.0,0.3734758152484948
54,331.59261344794385,19.82630451006017,13.975533602154776,870.4824980739432,1.418643829599702,82.0,0.380929673119949
55,342.41812299805105,19.61702784883966,14.032699692099547,864.8171879128353,1.3979510913273592,80.0,0.3959427816466609
56,343.19661325572065,20.041944306833518,14.319016346130656,901.5771755580595,1.3996732612327336,82.0,0.38066249075492437
57,348.9829092434548,20.092446241347808,14.58675903755129,920.749510206128,1.3774441731451792,86.0,0.3790204668860786
58,353.97770542341146,20.364925447711542,14.767697894788677,944.8122088424561,1.3790182865873801,81.0,0.37465403400860997
59,343.27611812688554,20.147892534814492,14.778752022569513,935.4428513649029,1.363301346693242,87.0,0.36696642411239977
60,345.8035306381366,20.62924292823533,14.861126396347412,963.129955820621,1.388134544990184,87.0,0.3590414030300819
61,350.0051179346622,21.077746482248514,14.7710953934273,978.1078674634767,1.4269589303192427,92.0,0.3578389762290013
62,352.4219334070568,21.35638562462947,14.594460704818458,979.1870888221144,1.4633213283159219,86.0,0.3599127658341501
63,356.923011153476,21.36297347064485,14.576717464115818,978.2983249699935,1.465554472276428,92.0,0.36484066469644993
64,350.89115690398376,21.31409041080224,14.526306695268467,972.6842541711812,1.46727525846227,89.0,0.36074518056527616
65,356.5532149735189,21.239200068183926,13.820283034953531,922.1572094333958,1.536813682792665,91.0,0.3866512253291357
66,345.7705986422255,21.227775735585233,13.920916122964744,928.3723136439503,1.5248835312330251,88.0,0.37244820161110015
67,354.6944577628831,21.37010853206497,13.933449754240112,935.4385345802935,1.5337270316392246,86.0,0.3791745204531531
68,337.7232636851707,21.334298858560345,13.836642339375343,927.3826408797081,1.541869648379123,79.0,0.36416819638203385
69,328.3164094356778,22.13686840964753,14.248859380903049,990.9372557800405,1.5535888044004658,76.0,0.3313190694169991
70,333.22694334161093,21.48221395521115,14.163642540549015,955.8810852187052,1.516715343084227,85.0,0.3486071107530795
71,333.4824628262711,22.148211773694335,14.645819965540564,1019.0658106324046,1.5122548157635272,82.0,0.3272433039622053
72,336.92669080991675,22.102367003644066,14.88056293119466,1033.2561990744548,1.4853179349357863,82.0,0.3260824286481134
73,336.0705355093016,21.661586370382587,14.89688135224444,1013.7607911890769,1.4541020941352225,74.0,0.33150871332783766
74,330.6829723763782,21.241627788014746,14.66052269481246,978.3339436750656,1.4488997582283318,81.0,0.33800623449104006
75,320.3145696074582,20.65403726541991,14.711502200102288,954.5789429102963,1.4039380196861408,77.0,0.3355558720276096
76,319.74058422095305,20.500723247346745,14.577557414993784,938.8664416616331,1.4063208714417872,77.0,0.34056024374997035
77,318.06304544385523,20.32991082973831,14.320846507038693,914.6480996394884,1.4196025926083464,74.0,0.34774362464561054
78,315.747181452033,20.263879359238725,14.385121900897257,915.7691527036487,1.4086692833638612,72.0,0.34478905575694974
79,317.728336752648,20.22895937517687,14.210534197684373,903.0957926909572,1.423518573881143,68.0,0.3518213010448337
80,323.27275413506374,20.09924486597782,14.3406169256427,905.5187527265575,1.4015606839087948,75.0,0.35700282645906006
81,308.9409630184944,19.616807861200506,13.902740367308137,856.7983539542605,1.4110029636551957,79.0,0.36057604638557345
82,317.05523971379125,19.880873742891666,14.4138579859767,900.2550759661767,1.379288859529062,72.0,0.35218378454963944
83,313.7168513661431,20.442031768123737,14.404277614114552,925.0504409862646,1.4191639675212087,68.0,0.339134859534434
84,330.16368125980944,21.097009216906724,14.22761563521617,942.9808850405942,1.4828211386795862,66.0,0.3501276499847569
85,342.39039482218317,21.467459036758324,14.15173410747337,954.4214158521812,1.5169490094801599,73.0,0.3587413160846465
86,343.7369045645128,21.72535587928248,13.680063396376474,933.6946750243889,1.5881034502396394,73.0,0.3681470118221828
87,356.0412831698311,21.71410394773494,13.742654458941404,937.4808650051053,1.5800516568767442,86.0,0.37978512037991535
88,346.4100016033691,21.51631021738614,13.540224667788856,915.2580143144951,1.5890659679061139,84.0,0.37848343984490684
89,346.3012443927332,21.649891906117567,13.338590207530352,907.2260985519334,1.623101959747968,80.0,0.38171437632303684
90,341.39407447862317,21.53201485520164,13.35701721447506,903.5330210171359,1.6120376660043005,72.0,0.3778434949663544
91,343.19324926389845,21.717980048114285,13.51573598263143,922.1657797863188,1.6068662539741272,73.0,0.37216003541513115
92,356.5179967322039,21.687516383633096,13.45181170575364,916.5168894240131,1.6122375824184976,79.0,0.3889922824622014
93,358.966220036908,21.7840870196988,13.390950034342298,916.4328017638743,1.6267768129842577,83.0,0.3916994452250066
94,363.87231220459864,21.85351562304618,13.936012817724938,956.7747878847769,1.5681325719829369,78.0,0.38031135102236757
95,368.20073932934497,22.072793579952165,14.46234633065762,1002.8729835116261,1.5262249344120422,77.0,0.36714593511140936
96,371.5584187935621,22.29769398772535,14.198375586069758,994.6000664213609,1.570439790985805,73.0,0.3735757027751413
97,376.6575304459136,22.717893099680705,14.232897696427742,1015.80711878814,1.59615375478899,80.0,0.3707963091411161
98,373.8539139223967,22.66744011488583,14.380442223367744,1024.0580863880289,1.5762686406160715,74.0,0.3650710041663971
99,380.5947147812962,22.785770049095987,14.554725986329679,1041.8797965345696,1.5655238079024778,79.0,0.3652961848835199
100,385.6512488794521,22.854345436126184,14.348925802500496,1030.2391510967464,1.5927565415484624,85.0,0.37433177381087207
101,369.9499772475437,22.847747779156148,14.302435950618563,1026.6047754438514,1.5974724765796284,86.0,0.36036261090602884
102,381.5394433416113,23.577778710850932,14.376194416433396,1064.8702580953584,1.6400570295501309,93.0,0.35829664735311323
103,381.83570055224664,23.59252000311322,14.247609913638914,1056.0055985505783,1.6558931740915108,90.0,0.3615849206446781
104,385.3586713252559,23.239864749177748,14.28815167281159,1043.1806450401991,1.626513021512786,88.0,0.36940742062023785
105,398.32174400828615,23.171023826544598,14.054366883896853,1023.072433715559,1.6486707667417866,93.0,0.3893387514720488
106,384.9988363682007,23.36325675597728,13.870316687834077,1018.05122658828,1.6844068727334571,87.0,0.3781723613834433
107,385.40124887945154,23.112278385311615,14.131097031418951,1026.0499678336316,1.6355615090550994,88.0,0.37561645237724156
108,385.44261793466274,23.511234448655927,13.913317311632868,1027.6754806272852,1.6898367170134385,88.0,0.3750625807471747
109,378.9467440082866,22.852763184429776,13.693027865817298,983.078241291695,1.6689342494860804,88.0,0.3854695670106354
110,390.56958851544874,23.68143823480937,14.056057456343948,1045.734584206865,1.6847852470979463,87.0,0.3734882583152544
111,389.145413730173,23.62629913636187,14.337045910114936,1064.155874846272,1.6479196122049988,90.0,0.365684598401892
112,391.5107681718886,23.779396907900455,14.073536381492584,1051.3660493725854,1.6896532799795487,93.0,0.37238292829174685
113,399.70423407373227,23.89323987469794,14.37092972483411,1078.722609764087,1.6626091931552989,99.0,0.3705347699731131
114,403.7327243314023,24.154055327758705,14.16670861260188,1075.0010555545437,1.7049870925045116,96.0,0.37556495618800595
115,402.70055441729215,24.429113711225256,14.163793649612305,1087.0190988944817,1.7247578096348457,96.0,0.37046318213437646
