time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,304.2003470716475,13.584439930280462,11.43382390194381,487.958749354327,1.1880924568001292,90.0,0.623414064148187
1,291.92953179147565,13.032615972825171,11.269364623063465,461.40351828509074,1.1564641316293114,89.0,0.6326989722065774
2,299.5727451616258,12.990324105137486,11.419422882261413,466.03015103510484,1.1375639766626264,83.0,0.6428183766570498
3,318.7259197546776,13.379901157897883,11.684398343287981,491.1443273000677,1.1451082687183352,89.0,0.6489455380799909
4,323.20675939067445,12.7565384753822,11.944724473618667,478.6949571449259,1.0679642300294594,88.0,0.6751831298127148
5,321.035502180039,12.40204808874064,11.637186994699029,453.4102112134587,1.0657255996994826,95.0,0.7080464758851677
6,321.205681644256,12.454796821722377,11.705309622657172,458.00416328059003,1.0640296774050704,92.0,0.7013160739490346
7,319.8084729530481,12.927879271218806,11.545748972567893,468.9205560111729,1.119709020344612,88.0,0.6820099243962939
8,334.1587931043844,13.796886640467939,11.454517761399524,496.486882546922,1.204493015582196,92.0,0.6730465695089209
9,326.8204047567361,12.702207061394326,12.073848289952164,481.80885251638773,1.0520429573365668,94.0,0.6783196345393425
10,313.00009902667176,13.783677130559244,12.220883822154365,529.1972513771973,1.1278789104902383,86.0,0.5914620648767767
11,308.96501153792326,14.057437853636003,11.723686231870909,517.7501478068943,1.1990629547403595,79.0,0.5967453854849659
12,324.85593866266873,14.583146722161056,12.038709793885825,551.5451416685985,1.211354619542992,87.0,0.5889924760825139
13,334.952894822182,14.467724908578548,12.28277559246859,558.2730103551767,1.1778872616910545,86.0,0.5999804550986316
14,334.80936578741483,14.515609095371143,12.044546178249018,549.256971408236,1.2051603174210552,86.0,0.6095678038077504
15,331.563045443855,14.15683396084098,12.336481933280831,548.6651026903127,1.147558439870064,91.0,0.6043086097841396
16,319.1990844131759,13.186052199768602,12.098163881254703,501.1689155248839,1.0899217707076616,93.0,0.6369091827630062
17,321.7171670307601,13.316674555126905,11.990717646923505,501.6384709279841,1.1105819474069265,90.0,0.6413327240145946
18,332.546802654491,14.148577795290834,12.032027758158113,534.8124207273452,1.175909670395967,89.0,0.621800821682913
19,329.1584774397666,13.527048461836173,12.268289636030758,521.359076967561,1.1026026335495507,92.0,0.6313469775078777
20,315.4783367526477,13.395250147680143,12.338343020252683,519.2273263819989,1.0856603780339553,90.0,0.6075919365625766
21,333.17808422095345,14.324338324139786,12.735334136732106,573.1057776200702,1.124771299311619,93.0,0.5813553051315209
22,332.9158367526476,14.590574310536123,12.639777164166826,579.3775688007046,1.1543379381639507,90.0,0.574609468298495
23,349.53132194692876,14.629085863846326,12.592672912930139,578.7419784763438,1.1617141146281345,93.0,0.6039501797798411
24,338.3075259591945,14.424275140372673,12.30945031651243,557.8051637692566,1.171804976622175,92.0,0.6064976589193781
25,335.33125881400497,14.787204719800501,12.177171686871691,565.6950615035583,1.2143381977395218,92.0,0.5927774195566239
26,333.8830355093014,15.146047431406435,12.198731644917075,580.4487265916447,1.2416083796480135,94.0,0.5752153811583666
27,335.25987533752175,15.278635135767406,12.50068200398132,600.02333442074,1.222224125923797,84.0,0.5587447289215515
28,334.6422346504026,15.6968490796177,12.213301968206574,602.2758515519172,1.2852256597339053,92.0,0.5556295072899098
29,332.9192007444698,16.45707647823962,11.749333445375203,607.4573472946843,1.400681711413807,95.0,0.5480536242209069
30,331.83341430684294,16.398635118502657,11.879805734273752,612.021831463214,1.3803790638757574,93.0,0.5421921200318947
31,343.11787046635703,16.633745984973082,11.945615483454297,624.235508259431,1.392456170049358,98.0,0.5496609307328252
32,341.98690456451294,16.624589138993382,12.13230233672789,633.6420903424062,1.3702748808580278,101.0,0.5397162053734638
33,348.2214238569498,16.518612576785884,11.946376471536224,619.9542433180836,1.3827299529814416,101.0,0.5616889110932107
34,347.5386812598092,16.90639273866915,11.866897233146586,630.2865035651507,1.4246683363403754,96.0,0.5513979425134323
35,341.16659883444885,16.88166433627644,11.668635855507913,618.8497509033874,1.4467556058241235,88.0,0.5512914860778712
36,344.1713562373082,16.533907091710592,11.719609057388897,608.7493217039307,1.4107899854634152,93.0,0.565374521114782
37,350.5530842209532,16.53737691505232,11.602501625112405,602.7929098664664,1.4253285583911397,104.0,0.5815481212255954
38,346.70321048680074,17.005377329214305,11.662898290021829,623.0783107363292,1.4580747346277747,95.0,0.5564360121556481
39,349.1796083845561,16.762603996582705,11.784763983905748,620.6006801225827,1.4223962414075588,107.0,0.5626478016678699
40,347.68956960745766,17.33781919927774,11.796500040574115,642.5360749545001,1.469742647365255,99.0,0.5411206983702488
41,369.0161569039844,17.45316902312162,11.925040853145527,653.8589049584409,1.4635731011787614,103.0,0.5643666456258464
42,373.24699653998096,17.89646512485018,11.787329621556982,662.723787867228,1.5182798563739703,103.0,0.5632014473800031
