time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,325.4091087690022,18.817947300758274,13.252821608380271,783.4846149542878,1.4199200635779297,81.0,0.4153356716366257
1,318.0681185113326,18.63418941394444,12.822531565962246,750.6442380129554,1.4532379443236776,82.0,0.42372685008985983
2,318.89502147247583,19.207136814791337,13.078840881028675,789.1903364753113,1.468565677150486,82.0,0.4040787205995547
3,302.93975451950985,18.93776944469657,12.985334449884073,772.5593223711284,1.4583967411686989,81.0,0.392124909695907
4,314.1505409571365,18.954414823627754,12.835018807829572,764.2875113599109,1.4767734358180489,87.0,0.41103712449541746
5,311.7818225235986,19.30168140031901,13.062497378315417,792.0839836660581,1.477640977931298,85.0,0.39362217763898827
6,313.4360748630693,19.376385221661703,13.294499783038734,809.2722227820462,1.457473807806015,77.0,0.38730610793184744
7,312.39318164425606,18.669265265008914,13.039862711863243,764.8039428046842,1.4317071948943314,82.0,0.40846178237346653
8,315.47712825366267,18.84633716551457,12.931508802200016,765.6424934422646,1.4573966158000273,80.0,0.4120423447702124
9,311.6413418160356,18.329864875662928,12.952202603009598,745.8521832347201,1.4151928778047191,82.0,0.417832579727077
10,319.5744000777943,18.2069054402758,12.856366694958526,735.367209378685,1.4161781374371833,82.0,0.43457798498766914
11,321.85764773832295,18.272279494260484,12.611361044516906,723.94331376622,1.448874505278302,84.0,0.4445895716114855
12,332.1690699919041,18.519760872318617,12.534931033961168,729.3016502978722,1.4774521552725433,82.0,0.45546183785027045
13,342.48309415550597,17.94887405018255,13.07891154958889,737.4943296027704,1.3723522773381502,92.0,0.46438742700567526
14,344.79007467084557,17.88730258354266,13.421038433782316,754.190133170437,1.332780818101097,91.0,0.4571659844201748
15,347.4812543272859,17.689264028990685,13.282072509471856,738.117468763089,1.3318150474164272,93.0,0.4707668752367867
16,347.4454047567358,18.145648022265817,13.097662092281954,746.6483969143671,1.3854112202939244,94.0,0.4653400532199685
17,349.64515222504144,17.970105865030863,12.87641583067673,726.9348697068626,1.3955829091989203,101.0,0.4809855281340903
18,347.96622003690743,17.876803027242406,12.917262204011,725.4545400422027,1.3839467485371162,104.0,0.47965268783990905
19,342.8940744786226,17.84124740016554,12.963579176926622,726.6077282740708,1.3762593768795344,100.0,0.47191085524662296
20,346.76983656042347,17.667981803920473,12.68310939905909,703.9836203840779,1.3930323588654996,96.0,0.49258225123367716
21,335.31075919845136,18.17601630835257,12.651181203663098,722.4031858845032,1.4367050803991155,92.0,0.4641601334965048
22,333.4328416238126,18.71052493036355,11.978627438232646,704.1138746949858,1.5619923924375883,93.0,0.4735495970282533
23,335.6954047567355,18.704971630000763,12.578163529225671,739.1356730774934,1.4870987792883519,94.0,0.45417291707626745
24,341.4454047567358,18.886526383768814,12.624546415720097,749.0619654393674,1.4960162339180196,86.0,0.4558306528839155
25,359.85593866266845,18.854060274803675,12.710783086484259,752.8822724474118,1.4833122512217,99.0,0.4779710611233765
26,358.46469587330455,18.222572686905668,12.503890191220597,715.8214613134661,1.4573522646336379,86.0,0.5007738874097949
27,358.60441449906574,18.027536777008116,12.696796364520626,719.0853107195588,1.4198492485382752,98.0,0.49869523011146644
28,357.6433123968217,17.732613111528725,13.172107758234688,733.8003024049212,1.3462244188249208,93.0,0.4873850708765028
29,365.5605742863991,17.39672132247917,13.332879507310409,728.6873555694297,1.3047985105498447,98.0,0.5016699843799723
30,371.43449653998033,17.770104319784995,13.374844003042453,746.669781590397,1.3286214265932916,102.0,0.4974548397403062
31,375.10835566063764,17.729524172554473,13.358930700275259,744.0783181746847,1.3271664155117713,101.0,0.5041248300055623
32,375.40416645409056,17.942454820980302,13.682370376166313,771.2462696698508,1.311355732061949,95.0,0.486750057948145
33,382.51736540296844,18.13470648772753,14.059001189576865,800.9674570282693,1.2899000606936668,89.0,0.4775691721885623
34,385.51292366472694,18.601005599614226,14.22616853264045,831.3315169353858,1.3075204020630131,99.0,0.46372946990615593
35,374.8168558528614,18.48175678584479,14.025632469200326,814.358395119832,1.317712896472221,98.0,0.46026032039334164
36,373.8782781064419,18.18916729213398,14.185647662263415,810.6098166463986,1.2822232530503848,107.0,0.4612308788132204
37,377.98887514529855,17.998624979371524,14.137970500390463,799.4223241279384,1.273069920387402,99.0,0.47282752024423796
38,370.79877323527694,18.48440858337227,14.346801968334285,833.1257084937026,1.2883992282161805,89.0,0.44506941684188794
