time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,368.31272977923743,24.563665872026395,15.285681781247572,1179.5812703218728,1.6069722125290495,67.0,0.31224023222981134
1,364.0143170757633,24.2623979461926,15.756163890127453,1200.9753231069117,1.5398670714129223,65.0,0.30309891475043943
2,364.73030733343296,23.586182436785382,15.158318410969732,1123.2037677572491,1.5559893780642973,70.0,0.3247231871931005
3,372.38195776288234,23.33325116107523,15.95960756555747,1169.8962172489132,1.4620191044942024,66.0,0.318303412108266
4,385.072059672904,24.593724795089226,15.40248041667918,1190.0490087538126,1.5967379363428338,71.0,0.3235766399874079
5,365.2058123968212,25.0185024110779,15.710441876949385,1234.808421095068,1.5924760491800967,61.0,0.2957590879344221
6,361.4254823109309,24.848440495107738,15.900211616498709,1241.2290015524766,1.5627742003964262,65.0,0.29118356230709663
7,363.1177397137906,25.090733804805513,15.77869411226133,1243.7534331862091,1.590165423468598,69.0,0.29195315568582336
8,367.2361424827114,24.98716232208411,15.108935870606809,1186.0436935811279,1.6538002766094586,79.0,0.30963120875748046
9,371.3407736197235,24.954839608571394,15.536682411601921,1218.0439077125397,1.6061884350507494,80.0,0.3048664923065815
10,375.7657104867996,24.76480344641757,15.612517918597868,1214.6683290084927,1.586214573173835,79.0,0.3093566379503193
11,366.6806861309744,24.497460681618506,15.383780203811144,1183.951762214276,1.592421391690812,78.0,0.3097091434242159
12,384.53132194692853,23.9616521945796,15.486396841092967,1165.78111758441,1.5472709656385433,78.0,0.32984864495292876
13,370.4173609162491,24.269749262310093,15.647320172856107,1193.04034749029,1.551048294161679,76.0,0.3104818388543761
14,382.31088995101686,24.207074436500417,15.756659192153032,1198.2745069840064,1.536307547259496,74.0,0.31905117543831685
15,369.2301765808666,24.287347238046518,15.33406553066571,1170.0037927794751,1.5838817950448731,79.0,0.3155803244908454
16,362.2286524172649,24.37110143253374,15.205419210096228,1164.1888297477672,1.6027904982949503,71.0,0.3111425253030003
17,349.6214193702309,24.319035346250093,15.822790014101315,1208.8691125573273,1.5369625283895507,66.0,0.2892136259736317
18,340.72160876900193,24.944486472833734,15.882610736431229,1244.6473888009812,1.5705532854001483,57.0,0.27374950675567056
19,345.4161524172645,24.010677560165657,15.475621634242863,1167.3535043406746,1.5515161928640915,63.0,0.2958967880191158
20,345.848132932604,24.217474496083526,15.265350921729407,1161.4098797022307,1.5864341815825047,61.0,0.2977830126787579
21,340.83189014324074,24.077397077513645,15.5365366295506,1175.2049743847215,1.5497274361467581,56.0,0.29001910098422046
22,336.05600179559195,23.999435693902782,15.254800708231487,1150.1578320728497,1.5732382318801905,60.0,0.2921825095864813
23,340.49718145203275,24.197544865833724,15.157181636187946,1152.2312017336449,1.5964409114199571,61.0,0.29551116211722206
24,354.11558422095334,24.4273874815999,14.838571198413277,1138.7253241882102,1.646208867078252,69.0,0.310975418478025
25,344.62630752565667,24.210056252631922,15.12498303976227,1150.3779998881957,1.6006666710954836,56.0,0.2995765805319213
26,355.43880752565616,24.39308283803034,14.78614863965974,1133.1088485715295,1.6497252552028774,65.0,0.3136846102417657
27,362.4921083845556,24.58766275712076,15.01390709078195,1159.7405554715986,1.6376591788167374,59.0,0.3125631044584375
