time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,350.83570055224624,29.989978707095304,11.513156625955615,1084.7269816322932,2.60484415190574,69.0,0.32343226129058755
1,355.83982662587084,29.570114747904665,11.277382128863954,1047.637846265103,2.622072606036935,76.0,0.3396591941523141
2,344.5890645440695,29.663397645477456,11.584541808478736,1079.567066940387,2.560601717002462,78.0,0.31919190117634216
3,345.4162831698303,29.720382158930434,11.407015820382625,1065.0654729554578,2.605447614600882,76.0,0.3243146003140372
4,344.7776422904876,29.078135170473555,11.632455744968421,1062.6440936912632,2.4997417405220905,73.0,0.32445260302802575
5,343.0098753375219,27.732174700165366,12.105044180184075,1054.6301404042902,2.2909602218191703,72.0,0.32524186650500037
6,342.4055598651274,28.322608213170415,11.711288927265212,1042.0482126233887,2.41840231157069,76.0,0.32858898054544977
7,352.6474384704451,28.62476757400478,12.125805052474727,1090.441630437984,2.3606488352839565,69.0,0.3233987300437178
8,352.4991520328184,28.82240740758647,12.41100536547621,1123.7949825251544,2.322326560889417,67.0,0.3136685583350416
9,346.8870308303597,29.340053568888745,12.101604362249237,1115.4592919331424,2.424476349632994,73.0,0.31098134493925683
10,352.34458402872934,28.93250049324252,12.410252219187074,1128.0190909482928,2.331338636978784,76.0,0.3123569333676113
11,348.96958402872957,28.210493854672983,12.118756965602632,1074.0355035878802,2.327837247231251,73.0,0.32491438398728506
12,345.899278298665,28.08516062086478,13.190348395104607,1163.8125908152942,2.1292205315280492,77.0,0.2972121809202542
13,357.5690113456987,30.138020187408816,13.216038008466713,1251.3127539706775,2.2804126447049575,81.0,0.28575510815426225
14,380.1190789653411,29.87764028785198,13.904393092706055,1305.1132662744178,2.1487913991388194,78.0,0.2912537086152152
15,387.49928278538334,29.83100056890996,13.953219927394395,1307.6518501592934,2.137929504740528,78.0,0.29633214891117965
16,372.50803550930056,30.69292351209556,14.147756883812349,1364.1926900500034,2.169455113214021,76.0,0.2730611578747329
17,364.68373445817883,30.00517220783876,14.065376221196336,1325.8590260729632,2.133264815385554,74.0,0.27505468325567667
18,364.8176179346622,26.837541594607575,14.293291016302803,1205.1048642340006,1.8776320697589457,78.0,0.3027268653226712
19,381.8280255747471,30.49662710803395,13.978460734555973,1339.2480820401117,2.1816870746464687,88.0,0.28510627022373514
20,385.3513120123739,30.95194253903736,14.051814112889945,1366.3758553206753,2.202700824987762,88.0,0.28202438627103493
21,400.5947147812948,30.059504872098657,14.180372940398188,1339.119543538015,2.1197964960754114,79.0,0.299147836886097
22,406.6305643518452,31.678178357959215,13.76315236776977,1369.7079933679468,2.301665891031072,74.0,0.2968739076655234
23,401.5824673129888,31.89226188104313,13.991184699470608,1401.811711886072,2.2794539966476073,73.0,0.28647389938886897
24,393.3350692230108,31.87959406822379,14.299070348582303,1432.0904817972703,2.2294871828072744,74.0,0.2746579732374006
25,376.7990888998943,30.802914227432655,14.020279039017588,1356.7453334898103,2.19702576116424,76.0,0.2777227823077854
26,384.53253044591247,30.59423710373507,13.370417005901507,1285.0926905178628,2.2882036581380536,80.0,0.2992255214609887
27,363.0232005522464,27.14920093092261,13.370511700627082,1140.3940765445866,2.030528190603902,73.0,0.318331362832235
28,367.1197102945769,27.356031126408457,13.322879406227958,1144.9883259978926,2.053312222703188,75.0,0.3206318369880503
29,364.1241520328183,27.4753465248173,13.10449320837747,1131.1319803758602,2.0966355652161197,76.0,0.3219112874094716
30,369.5886181268855,30.260904296775912,12.943374332666691,1230.4933932589806,2.337945540244708,71.0,0.30035806787066477
31,375.3231374193227,30.569866179009555,12.967663226451501,1245.3893098946812,2.3573920486038684,72.0,0.30137012935421986
32,390.9193314970349,30.52803138153918,12.692924798775769,1217.3357580128961,2.4051218978689297,70.0,0.32112696018652037
33,380.5716132557203,29.624125897156045,12.931634249132742,1203.5075807576075,2.2908261497685634,64.0,0.31621870883119046
34,382.19661325572,30.306317029974707,12.992546057195527,1237.0216475418,2.3325926186107666,62.0,0.3089651777842516
35,362.64515222504156,26.61494776247926,13.410912369458256,1121.3309659952824,1.9845739819381425,65.0,0.32340599093610267
36,394.40004038046635,31.603967600611067,12.897495351840025,1280.550943972977,2.4503957348666368,80.0,0.30799246389746854
37,389.04801115347556,31.624426355052435,13.076903839263055,1299.2043300159874,2.418342043634284,78.0,0.2994509810082669
38,397.43297237637796,31.190124836235032,13.443166380117372,1317.2510681871822,2.3201472000202017,85.0,0.30171391162607314
39,409.75404018824344,31.08184633458691,13.358250060582366,1304.386365939867,2.326790275195063,76.0,0.31413548231393684
40,403.50664209826465,31.06788822560463,13.435883845131505,1311.3778604781805,2.312306996972297,75.0,0.307696701506864
41,396.6756130634972,30.423320202588183,13.161970167717854,1257.9905629389928,2.31145640165687,77.0,0.31532479237106514
42,403.377200360023,30.93391860917184,12.956962290172997,1259.180547961035,2.387436029865826,78.0,0.3203489769701441
43,383.4607005522458,31.39914163847381,12.718063760346228,1254.5519404561537,2.468861788252194,73.0,0.3056554999331633
44,404.63868574652776,30.339615054287638,12.203285392199476,1163.152629771502,2.4861841773921944,87.0,0.3478809877479432
45,396.77136072402584,30.569344166476387,12.352659043120752,1186.305239172695,2.4747177154137177,85.0,0.3344597559062675
