time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,159.097479169777,18.131302752890186,7.121675523135512,405.65895255688423,2.5459321607659238,35.0,0.39219516336809374
1,162.34379951333662,15.661594206229712,7.045701183633241,346.6650507131983,2.2228581369034917,37.0,0.46830160461616976
2,159.4732412515782,14.652056308864083,7.990243992744238,367.79726293406367,1.8337432902135764,36.0,0.4335900707346143
3,174.82387706753207,16.525755501071288,7.090803374764365,368.13460078920497,2.3305900090087404,34.0,0.4748911857042114
4,153.5760325603703,16.8293933381423,6.9681942770948355,368.4160858205631,2.415172807891168,32.0,0.41685485099901265
5,176.22844507162083,17.44148891780747,6.447717774485013,353.2965923775863,2.705063950973031,37.0,0.4988116185487472
6,173.37412959922625,18.106478426146705,6.854028411026003,389.87892912877606,2.641727950385937,43.0,0.44468709808618867
7,182.78358575874014,19.721055263380734,7.322401991529456,453.66324014285397,2.6932494673461007,33.0,0.40290587727844873
8,183.62749359104888,20.71123959397063,7.170988294585719,466.5895190228835,2.8881987730489187,26.0,0.3935525469487518
9,190.72108575874006,21.042391820838017,7.252634772477988,479.4471967100584,2.9013444742438783,35.0,0.3977937238291478
10,208.12870209003336,20.88688160127778,7.310539372576852,479.7035120308114,2.85709173246891,39.0,0.43386945659189846
11,208.2733088712198,19.755835218432228,7.1059871042756555,441.0315745434207,2.7801676147913623,48.0,0.4722412654623093
12,201.0269885276603,20.427664112167594,7.299378609378569,468.44053839355587,2.7985483703943257,41.0,0.4291408877998714
13,195.7636633129357,20.015447468828825,6.989417710731028,439.4972606853411,2.863678820926471,36.0,0.4454263560315865
14,195.500338098211,21.19147909376163,7.647013073952928,509.0998574666559,2.771209999096711,40.0,0.3840117714254428
15,182.16486732520178,18.897238064057646,7.4214929573568895,440.59492115467356,2.546285251854198,38.0,0.4134520362781297
16,192.87457601640983,18.397114531653507,7.577124237546174,437.9292898814252,2.4279811119490566,46.0,0.4404240147276585
17,188.28542558696032,19.172578446862335,7.595751395583065,457.5105763777446,2.5241187406437766,47.0,0.41154332885083306
18,181.66226541518054,17.662159943897606,7.257268375167493,402.6863140656215,2.433720103879991,45.0,0.45112599825177313
19,185.59608575874026,19.19829308480139,7.49163952958715,451.8448770128768,2.562629049219533,51.0,0.4107517761088859
20,194.8627749652875,19.59114230267846,7.492828003272401,461.16399783086246,2.6146526110198,43.0,0.42254550633147175
