time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,254.91436674853148,20.642607223343344,10.42960380940892,676.3667239929958,1.9792321549856866,52.0,0.3768878002211878
1,252.73175490395693,21.156095860920846,10.743509281102979,714.054831782607,1.9691978949683435,49.0,0.35393886247226003
2,256.1174782086602,21.066302377449983,11.337396811883968,750.3286570068442,1.8581251699127337,53.0,0.34134039239597375
3,265.9877208058003,21.351646803666217,11.854667525178776,795.1894834531174,1.8011173032323586,50.0,0.33449602433214565
4,261.51468689986757,20.87975901961006,11.211147575797154,735.4030455113475,1.8624105051195377,59.0,0.35560729384528
5,257.23467247859566,20.12167443052214,11.530061650458563,728.8625228574203,1.7451489021068574,48.0,0.3529261889747564
6,252.34006569740927,20.444419267910412,11.976283114400278,769.2131595329117,1.707075481818566,53.0,0.3280495953171646
7,242.29120657675205,20.696277663951285,11.875876419317867,772.1608613031207,1.7427158159279708,45.0,0.3137833302867158
8,243.34482310026848,20.14267574779278,11.470811192387025,725.873874614737,1.7559940103591904,53.0,0.33524394748250935
9,255.98727438861727,19.951837475880602,11.526981556232204,722.5174981358455,1.7308813568018069,49.0,0.3542990654884975
10,263.82014325160475,19.88221548654364,11.133037159696357,695.3897866086841,1.7858752469201233,45.0,0.3793845528537565
11,265.28460934567204,19.564778485007228,11.621061597804443,714.2834884820054,1.683562067057934,45.0,0.37139961041162334
12,268.6925413415832,19.033892917049094,11.766806120228141,703.6166245203649,1.6175921250481227,49.0,0.38187349755236827
13,271.2361966421978,18.863410249876395,11.677787699930589,692.0391409632839,1.6153239581490695,49.0,0.39193765292617777
14,264.5882258691887,18.804322555636404,12.02257713034366,710.2400149094464,1.5640841686244096,50.0,0.37253353840239906
15,255.66880848677306,19.179493891840817,12.935251169401795,779.402656220742,1.4827306900085337,46.0,0.32803173872474295
16,262.5827063845283,18.805244383867127,12.538005231210638,740.7255089871197,1.4998593505971396,43.0,0.35449394303105375
17,257.76163857266323,19.026678219681408,12.681308962070485,758.013481511414,1.5003717894256643,45.0,0.34004888416853557
18,272.25396359516475,19.361838843349943,12.001735821368063,730.029712867969,1.613253210329613,46.0,0.37293545563453495
19,266.0413373293176,19.782675360860424,11.893636660795716,739.1789043733799,1.6632991174237628,50.0,0.35991467796939824
20,259.949900654464,19.916668899570706,11.715346580568804,733.0299466545083,1.700049483180011,50.0,0.35462384837189137
21,271.8745218569225,19.845886940042995,11.784774180955129,734.7534781691714,1.6840277662778713,47.0,0.3700214152566767
22,274.1674150757363,20.976043615178007,11.999138238190898,790.7214257351569,1.7481291738447835,48.0,0.346730727349186
23,280.69742949700856,20.9623127891833,11.667402632901906,768.3573588003912,1.796656329496154,53.0,0.3653214565879233
24,281.2717305481304,21.291596346785717,11.785746997623772,788.342990936376,1.8065546758367121,48.0,0.3567885219782853
25,279.21075471173316,20.787344504417415,11.167989638054463,729.329681874719,1.8613327177154066,53.0,0.3828320191138124
26,267.03061402461395,20.909034208910388,10.587685493780553,695.4803724029451,1.9748446646996485,49.0,0.3839513300742046
27,254.17585213503602,21.06989019705466,10.241332393115515,677.9046406051316,2.057338770804703,50.0,0.3749433724308864
28,254.3285803109043,21.459275540815412,10.390565807451315,700.493526482331,2.065265351134822,51.0,0.3630705648174457
29,263.3008521350359,21.506812118372352,10.916073723422489,737.5515396477308,1.9701966717415478,60.0,0.35699315638442514
30,272.7683665563079,22.31236657754608,10.945538002165128,767.2424479827738,2.038489709060668,54.0,0.35551782526301534
31,274.8363860409685,21.665926916062666,10.37654484569354,706.2848878599843,2.0879712118291893,51.0,0.38912964267678446
32,281.75136168514297,21.875150656640567,10.609933686631557,729.1444844349611,2.061761298678342,56.0,0.38641362267655593
33,291.1038373293174,22.887349573105276,11.049361734597355,794.4792655085952,2.071373000798883,51.0,0.3664083506861112
34,294.6752208058005,23.14468311415509,10.96264341390687,797.1065899029384,2.111231957503467,55.0,0.36968107470003775
35,297.3745218569228,23.050900029403554,10.933157890599215,791.741445932887,2.108347858876499,60.0,0.3755954969700173
36,294.5931140246138,22.946388289464675,11.235208631932052,809.9260216900747,2.0423642356091007,53.0,0.3637284222698335
37,287.2063129734917,22.51086218245406,11.10638058343152,785.4427823682283,2.0268405186866842,51.0,0.3656616617031242
38,301.6298564295314,21.716876849688187,10.995195006397523,750.1535649897165,1.9751243008470776,55.0,0.4020908124773976
39,295.4356284458866,21.470631989910796,11.254664863204704,759.1494261919447,1.9077095809494544,66.0,0.3891666360440456
40,293.48740514118293,21.427296512854035,11.11943084272009,748.5137976002666,1.927013784782206,69.0,0.3920935139500472
41,291.662657672877,22.155311928550496,11.302085545777649,786.658666847957,1.9602852799877726,63.0,0.37076138605519066
42,294.39197314527166,22.396431636739177,11.465157397995235,806.6938069287357,1.9534342930743676,65.0,0.3649364487699341
43,300.41462825366295,21.951673345529986,11.052913440715738,762.2444539058907,1.9860531309931704,61.0,0.3941184835314698
44,297.85136617186186,22.167778058828066,11.40287532077475,794.1205105941026,1.9440516041108402,62.0,0.3750707382548668
45,293.4415943477301,22.730251376461492,11.652587596397176,832.1018502686794,1.9506612748819312,57.0,0.3526510537778278
46,287.7033953988526,23.44703763224761,11.558826093260302,851.4351647777414,2.028496444454603,55.0,0.33790405576442767
47,289.27401679353426,23.217162719719035,11.348663953923573,827.75870026707,2.04580581590771,53.0,0.3494665978143174
48,295.04622548474214,23.658863434147946,11.520943439442046,856.3115356992715,2.0535526069116554,49.0,0.34455477146387475
49,293.3150701841275,22.89109966969102,11.080734804532616,796.8656200565316,2.065846721674751,51.0,0.3680859894085015
50,284.632327586987,23.033098923824202,11.160293412058238,807.56568782918,2.0638434916897332,50.0,0.3524571832071124
51,289.67782271582183,23.423931743345616,10.988188467455236,808.6037783195809,2.1317373480371677,57.0,0.35824445851319503
52,294.4359441105041,23.307583256862877,10.689141616475053,782.6902932777242,2.180491576698653,62.0,0.37618448400257415
53,298.7096769653146,22.93019497225796,10.647197565340852,766.9957066317738,2.153636657114467,58.0,0.3894541708415609
54,302.51925939067485,23.638743241760668,10.832391604224744,804.4491702611538,2.182227536211054,65.0,0.37605764363268096
55,288.91494391828036,22.83570330536631,10.17603901095176,730.0339001841563,2.2440660143686397,58.0,0.3957555174429564
56,304.59476894078193,23.922160239215994,10.748042200859278,807.754954988591,2.2257225820441495,62.0,0.3770880847708129
57,306.17135623730854,23.79580404276283,11.287748955695104,843.83512385956,2.1081089007349805,59.0,0.36283315019755547
58,312.26678823322027,24.02901450324389,11.168527648865558,843.1051767569543,2.151493487656328,64.0,0.3703770263093033
59,326.4424871820972,24.083894843100673,11.37111813382156,860.3591194315203,2.117988271660551,62.0,0.3794258464974406
60,324.0301134479444,23.838649032760575,11.63281441069516,871.1968808901007,2.049258948964528,59.0,0.37193672355310003
61,333.340457955106,24.499336836575615,11.999996131690356,923.6029417513498,2.04161206118027,56.0,0.3609131617998323
62,329.5782104868007,23.39764668317124,11.70116514294135,860.104381545666,1.999599731936585,67.0,0.3831839687812382
63,334.0023852720746,23.673869563443898,11.649779869554655,866.4367053790731,2.032130205765759,69.0,0.3854896534259197
64,332.70765222504195,24.33397574153558,11.939149981281556,912.7174449470646,2.038166517690697,68.0,0.36452426111384145
