time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,186.8316827975964,23.28071794102589,6.508210587526359,476.00097127211126,3.577130399813081,56.0,0.39250273439209427
1,181.59056627407952,22.394571020938567,6.114303884293859,430.16952511917344,3.6626526003172177,50.0,0.4221372172372554
2,184.90566818410113,22.484996085378913,6.361043741584748,449.3358511204812,3.5347966464033704,53.0,0.41150882513160975
3,193.71372644585918,26.204561467931658,6.032598016399053,496.6279477753198,4.343826887967176,50.0,0.3900580450891127
4,173.44107133746792,22.679787801947313,6.204062841428912,442.04353952208237,3.655634764125589,49.0,0.39236196399337636
5,164.83047429861182,22.546618201722207,6.225771844472622,440.9856774203583,3.621497665665277,47.0,0.3737773871995652
6,182.22736732520184,25.840640297990173,6.0614788827372035,492.07549712180963,4.263091697239606,49.0,0.37032400188805337
7,183.52730419227828,25.405842321999437,5.861747124517137,467.85421892592035,4.334175764037629,51.0,0.3922745521320987
8,179.2281294070034,26.10785208832587,5.770669214234834,473.31165268586244,4.524232999514886,44.0,0.3786683222142374
9,183.4637264458595,25.481548358149038,5.577072837697243,446.45943270717856,4.568982528955152,51.0,0.410930339926738
10,184.92711479350763,25.187623083552317,5.530062274276913,437.5896892898705,4.5546725939620165,49.0,0.4226039125684409
11,184.30579444994822,25.282775715011752,5.499555759117086,436.81971822161717,4.597239635783004,44.0,0.42192645332105194
12,181.68631393460873,24.98613900931447,5.445613339023427,427.4603390774148,4.588305752496796,44.0,0.4250366579663069
13,181.65046436405814,24.535692573217048,5.3900333969757455,415.46998107124494,4.5520483392521465,47.0,0.43721682104611226
14,186.78955166058415,25.204815184289913,5.363473998783059,424.69736804535177,4.699345086786799,46.0,0.4398180109292263
15,184.6896779264314,25.037353353220595,5.329784600677209,419.225748667634,4.69762949707936,48.0,0.44054946174800697
16,183.96556627407963,24.828908340648475,5.24296419615183,408.96335021272904,4.735662387103866,47.0,0.44983386941247155
17,171.4873285481041,25.524097216115983,5.175919725151565,415.03793624336487,4.931316282222396,46.0,0.4131847081264144
18,175.67743045812563,25.562686483735465,5.203614618213995,417.88953105522756,4.912486484733028,53.0,0.42039203522164426
19,180.27286245403684,24.783355928808707,5.1448699417491515,400.5755036467089,4.817100569967541,55.0,0.4500346646584512
20,178.28802749698175,24.395539534935736,5.064843259618363,388.17388130675215,4.816642546362618,55.0,0.4592993915427573
21,177.30243045812549,24.496184090310425,5.010559247041882,385.5977682077894,4.888912171784498,47.0,0.45981186893846715
22,180.0469109734649,24.1971514696472,4.884438304109343,371.30324447553727,4.953927138211534,46.0,0.4849052995154396
23,170.118610114566,23.850605934571877,4.7676502835577566,357.2347359683623,5.002591321940224,44.0,0.47620959830074355
24,171.19291116568823,23.168007286683427,5.007005631012584,364.43210839133434,4.627118280671492,48.0,0.469752547110525
25,176.82311498573085,23.890517395113523,4.997003072920813,375.04643750876266,4.780969122188114,47.0,0.47146992292547646
26,187.15934784054141,23.338663931627025,4.914548377101183,360.3375136223725,4.7488929075092745,53.0,0.5194001200682125
27,179.6593478405414,23.070998444564346,4.9830949297761435,361.173122055033,4.6298532879045045,48.0,0.4974327735638262
28,175.48441097346486,23.014257657210287,5.057041694517302,365.63130959016735,4.550932946066408,51.0,0.47994908086554094
29,176.85128957878308,22.56843031719713,4.9527522851426795,351.15417295283925,4.556745223236412,47.0,0.5036286144392041
30,177.1719109734649,22.60239790280724,5.067484238313043,359.82952491278314,4.460279862721692,46.0,0.49237735846275676
31,169.110488719884,21.814272144624162,5.149020348080212,352.87038206025085,4.236586898080041,46.0,0.4792425131645342
32,181.73180906344356,23.499394344853894,5.052961654343439,373.03754510559236,4.650617984534717,54.0,0.4871676093943905
33,184.87825567285017,23.43045835040151,5.367587576091034,395.10251676920075,4.365174860819845,53.0,0.46792477351098943
34,181.36048871988393,23.129781363460665,5.408839075597974,393.02978223079316,4.2762931268949895,47.0,0.4614421016404967
35,183.37565376282856,23.84884710958864,5.351903441614994,400.9826036338073,4.456143009633969,50.0,0.4573157341516348
36,185.50509550107034,24.04785092544206,5.290782228799799,399.71093528553644,4.545235446384505,57.0,0.464098124732448
37,191.9629643640577,24.96731430058189,5.3788402683360435,421.90079975910896,4.641765335096219,55.0,0.4549954976943918
38,186.08904211047712,24.012420063960136,5.361047208604694,404.42261815709895,4.479054022396827,52.0,0.46013510064907
39,182.1881537628288,24.420606586116417,5.304283522932606,406.94250086836627,4.6039406605125945,52.0,0.44769999047546327
40,166.49284803276458,20.375454004689225,5.522365351596233,353.4942083249326,3.689624410452982,46.0,0.47099172804473227
41,164.339357775095,21.524707154434232,5.29156937857529,357.82577357788887,4.067735980479496,45.0,0.45927199746365627
