time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,205.6919641718348,27.741512282668545,4.477306046431869,390.20855484406513,6.196027699463785,58.0,0.52713340499168
1,193.1127749652875,20.038166265796416,4.758149396377105,299.5338594888999,4.2113360881551225,58.0,0.6447110029390313
2,226.39323580374284,29.423684712229356,4.197218444499286,387.9792539902255,7.010281952513316,68.0,0.5835189213736837
3,231.69133284259888,28.157452490246552,4.457655301981312,394.3208264381771,6.31665092581997,72.0,0.5875706209469618
4,234.72242501029015,27.17683153172418,4.655153327968553,397.45016802745135,5.838009968102122,70.0,0.5905707026750538
5,236.33562395916778,28.27058041523418,4.699960337534701,417.425321794646,6.015067869713794,65.0,0.5661746224284736
6,236.95097840088317,28.32894211731401,4.4388836225179755,395.0517488332047,6.381997034931116,72.0,0.599797315416838
7,229.83670170558653,29.065091028592803,4.297162627568404,392.37682634471327,6.7637866070336745,64.0,0.5857550351448865
8,230.10155108391405,28.88726161837752,4.058127353622043,368.2832096427157,7.118372367637617,71.0,0.6247951170707552
9,207.86398346427185,24.25695254634296,4.418124500163726,336.6852271827558,5.490327976371885,66.0,0.6173837361490214
10,216.69317267081917,27.90561102439082,4.352326064262353,381.55999380583444,6.411654506662141,64.0,0.5679137650397605
11,214.0344785931068,28.972147757375375,4.385741546973372,399.18443516770384,6.605986113652602,70.0,0.5361794191779733
12,223.78447859310657,28.75701932306944,4.1947396738564375,378.9646979003517,6.85549558707934,76.0,0.5905153694604831
13,220.8011677996541,29.306052950735126,4.213386062400411,387.9166824724393,6.955463495799185,73.0,0.5691974018553368
14,225.8832745808408,27.946300239265145,4.570843487998218,401.3012790577692,6.114035694428057,72.0,0.5628770362038239
15,234.2645561473024,28.455874995085495,4.517604869649229,403.859273706951,6.298885320020244,72.0,0.5800648181160495
16,230.97534258492934,28.863862754503106,4.443677551100097,402.94601119037173,6.49548992306101,71.0,0.5732166001658349
17,230.854784323171,27.28114906699683,4.790122262096247,410.5434520055519,5.695292849385035,70.0,0.5623151050039135
18,227.659162928489,28.929777296046986,4.869336553918942,442.55245658012285,5.941215394685279,67.0,0.5144230012589975
19,245.81861908800252,29.08152859786071,5.090161391149468,465.0489365541353,5.713282224887073,75.0,0.5285865631893286
20,241.64260447450724,28.37452687957486,5.086064264347131,453.3778982178272,5.578876987158386,72.0,0.5329827621160507
21,248.7620849898466,28.99977020650621,5.03782462942543,458.97335563639933,5.756407247112465,79.0,0.5419967889964337
22,228.53568709209134,29.642407949396894,4.954083349162857,461.34589601282056,5.98342939757077,73.0,0.4953673351539697
23,235.89736187736628,28.115602033007203,5.022054754051559,443.58689120751455,5.5984260247909186,75.0,0.5317951602113757
24,237.5094830798255,29.252238857863613,4.72595783911111,434.30899743418337,6.189695264688518,75.0,0.5468675170972447
25,235.67921612685893,28.1026632645526,4.809368027737209,424.6052543927767,5.843317272139559,73.0,0.555054874353595
26,245.36011889577927,29.218884970508658,5.106103876143816,468.70885347987667,5.722344409603956,76.0,0.5234808710655461
27,243.30129855221986,28.71041078232104,5.120383506419959,461.8402387522971,5.607082115299334,68.0,0.5268083595520394
28,241.8667161268589,29.1989090977401,5.09247821588581,467.13851803527,5.733732744630131,71.0,0.5177623055879058
29,241.82122099802396,28.269008618573878,4.913647745356847,436.3796303264244,5.7531614156278685,67.0,0.5541533201655972
30,246.94882290804549,28.29706337028182,4.610279244096597,409.8438961131446,6.1378198308737675,74.0,0.602543615386359
31,243.24539578329936,28.220782268790806,4.369357184671367,387.3793529993935,6.458794984258852,77.0,0.6279255564342898
32,246.61855595507902,26.82557820121342,4.320696473116435,364.12686552992835,6.20862362540932,82.0,0.6772874492415307
