time after 16 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,187.50217792643105,26.942061762541176,4.658907510206323,394.3345127944618,5.782914063762564,56.0,0.4754901532652874
1,193.69380400005505,26.491211351532026,4.613247006032509,383.93561355824727,5.742422054767675,57.0,0.5044955382100014
2,184.02178470761777,27.472003255034885,4.459511988604335,384.88194424494776,6.16031604472323,63.0,0.47812527311102454
3,191.0609982699907,29.085671110286665,4.236651528906967,387.1254344501608,6.865249811515795,68.0,0.49353770449455764
4,200.70820696119844,25.73896638079231,4.160998163310595,336.4639192329421,6.185767301640369,68.0,0.5965222286501493
5,199.8080806953517,27.55373591949966,4.050987485121034,350.6640673854982,6.801733162766465,61.0,0.5697991305042817
6,199.1767991288898,26.335117300792387,4.147192708591798,343.1147167910915,6.3501069642202905,63.0,0.5804962287588509
7,196.89386713297853,25.381069901412655,4.1339871625353775,329.63166303691156,6.139610236681632,68.0,0.5973147886310021
8,213.20313389372146,26.884828887085998,4.2112039490562205,355.68325865199813,6.38411941390566,67.0,0.5994185239466675
9,199.58473112480107,25.81097776540365,4.176879642442798,338.6930543451911,6.1794880329155015,66.0,0.5892790789898725
10,209.21201737020482,24.641295770422243,4.323901931114965,334.7258473316291,5.6988563022446295,63.0,0.6250249839921336
11,212.84222119024767,24.440863470446967,4.362688278562161,334.98132860030194,5.602248409666825,66.0,0.6353853275333144
12,214.3566241513914,23.83709920651884,4.646160683782131,347.9345064538616,5.130493934427304,60.0,0.6160832575535778
13,210.26303198370005,25.056078432471043,4.801368669043553,377.94449741124816,5.218528332143737,64.0,0.5563330950018015
14,227.95542013912532,27.506289527624045,4.974529375752298,429.8667782944954,5.529425489313604,68.0,0.5302931783738738
15,215.3840366626422,25.823268296505507,4.937932319765728,400.59563544209385,5.2295711290207905,62.0,0.5376594690677202
16,220.57934239270625,26.581073865369746,4.900494679444563,409.22515041193407,5.42416135596795,70.0,0.5390170720706359
