time after 13 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,134.27273170147154,22.450649812925523,4.607052301007338,324.93906840212844,4.873105045500929,38.0,0.4132243388329725
5,143.74208595096383,22.777201957106787,4.316512950362493,308.8753805280963,5.276759787131879,41.0,0.46537242853477795
10,123.26936770964893,22.084792114904975,3.680975252037597,255.3912924162894,5.999712196565293,38.0,0.48266863973075125
15,124.78040667896995,23.038945977388288,4.123990961960534,298.4902734971498,5.586565584138825,33.0,0.41803843460970075
20,121.31962024134305,23.687152836832677,4.381303510890986,326.03638903977975,5.406416783943743,28.0,0.3721045390014451
25,126.79081431905564,25.23488306806771,4.860452055368806,385.3255729681042,5.191879845866088,37.0,0.3290485324978701
30,132.8271103067896,24.75537183631157,5.136156096231458,399.4455073196623,4.819824665078867,31.0,0.33252873764453855
35,129.01784354604638,24.10868154189902,3.7864336389291826,286.78318438331337,6.367121106793527,37.0,0.4498793882335918
40,140.09703275259366,21.54451083226595,5.024562564002484,340.08287925133885,4.287838106866749,33.0,0.41194967844604347
45,134.19354249492403,23.769537458595405,5.121388949445986,382.435644501487,4.641228716121377,29.0,0.35089182827047455
50,140.36740161558149,21.065328507706596,4.660831162432849,308.44766002308256,4.519650631736457,37.0,0.45507688923649847
55,143.28390142335843,21.604534787118055,5.563990441004882,377.64276340595677,3.882920902936738,37.0,0.3794165155743544
60,129.7630861431871,16.56581583056468,5.229600814918342,272.1643521850495,3.167701783912038,30.0,0.4767820807589042
65,154.97920715342252,17.67700966868345,5.816970632081436,323.03943599910554,3.038868646025507,39.0,0.4797532124029948
70,160.3992558650736,22.07504419029189,5.192081443063996,360.07498437875654,4.251675254397545,39.0,0.4454607035304414
75,152.81943532929097,22.02727274110324,5.2353211460487845,362.28798342975944,4.207434869153675,37.0,0.4218175659114006
80,161.01245481395136,22.371039594150574,5.493123865643824,386.0605555396954,4.072553275936108,48.0,0.41706528290325634
85,158.64925586507368,21.896892166845856,5.374726307542607,369.7334185675166,4.074047851723522,48.0,0.4290909284850131
90,143.65293552151428,19.840176010097537,5.9204526357023,369.0203397702734,3.35112486002416,40.0,0.3892818905617579
95,163.02546436405842,24.50932450108563,5.032688781536101,387.5085500436549,4.870025857948001,39.0,0.4207015931537323
100,151.26016856854778,25.439243523022355,5.51384164577938,440.66479384612626,4.613705861954714,36.0,0.34325448885613863
105,146.11112004911965,17.387042702690792,5.576123087743626,304.58460277315623,3.118123905999795,36.0,0.47970619236435275
110,169.53053743153535,26.44610417498224,5.002691439105153,415.638045490916,5.286375243585429,47.0,0.40788021999117147
115,181.70224105935478,24.586865749983815,5.190516175305824,400.9254186396127,4.7368825988747,55.0,0.4532070869337543
120,142.23872195914117,21.291411355122815,5.334773532891117,356.83735474563053,3.9910618930405066,39.0,0.3986093946373278
125,147.54678022089948,21.484295147447313,5.410908351038347,365.2087386389669,3.970552401488098,35.0,0.40400670797409166
130,159.65966350515941,21.072451761484977,5.411781093949178,358.26564299707155,3.8938108167467704,50.0,0.445646035633019
135,134.67913953378041,24.325460444291632,5.668320494778806,433.17695103473955,4.291475837807383,42.0,0.3109102162801352
140,141.7941783108781,22.98671538310991,4.513468168472505,325.9396351877653,5.0929162508947785,40.0,0.435032021279628
145,146.11524612274354,24.736516006796453,4.675446852253037,363.3385921067657,5.290727664859723,42.0,0.40214623300958935
150,161.96144020045605,23.708280526543113,4.096808969387715,305.13754214288053,5.787011477395397,52.0,0.5307817552145637
155,148.76245481395154,21.550822614316772,4.21840322566536,285.60237547722534,5.108763070158521,43.0,0.5208726102693576
160,148.94690648674657,20.498218687780703,4.898132033476711,315.4252693422704,4.184905296076921,46.0,0.4722098099411406
165,153.7180374315356,19.940359564279035,4.374552338372221,274.041587604142,4.558262885408494,41.0,0.5609295974944651
170,154.87412959922665,20.98848404953696,4.988506184440795,328.928465711235,4.207368553536181,49.0,0.47084441069685357
175,168.82419273215007,23.478055787006102,5.808247479738969,428.4075496018738,4.04219273867119,46.0,0.39407380399584735
