time after 13 h AEL (min),total_length (µm),semi-major_axis (µm),semi-minor_axis (µm),ellipse_area (µm^2),ellipse_aspect_ratio (-),number_of_branches (#),density (µm^-1)
0,104.78440200002795,20.011361810659576,3.976537198993219,249.99514025980744,5.032358760714237,35.0,0.419145755758015
5,69.67291212680448,17.82953833546472,3.741740229781254,209.5866442229047,4.7650390568420224,22.0,0.3324301144528286
10,134.39068805320852,18.860086465875384,4.419466373873886,261.85651643934006,4.267503103399237,41.0,0.5132226223758711
15,138.44430457672522,19.899823727358623,4.372345595237324,273.34654183526396,4.551292502823875,38.0,0.5064790783421016
20,131.99639693663963,17.62994649247262,4.850062202836746,268.6260805352578,3.634993893925951,49.0,0.49137595528188033
25,116.40172702252961,9.18692644721605,5.811250604962911,167.72187792907042,1.5808862965521144,31.0,0.6940163588661695
30,99.25743590596072,11.890268737391223,4.257297602614518,159.0287163148618,2.792914625016841,31.0,0.6241478784840367
35,130.35071240903417,22.95137806016264,4.242792760489876,305.9218230523278,5.409497789732407,35.0,0.4260915782616062
40,157.71956159513792,23.204392570246878,4.849674200772252,353.53518340784785,4.784732254086647,46.0,0.4461212603363109
45,153.4225423027006,23.052546824466486,5.345962158648417,387.163730481533,4.312141788578373,44.0,0.3962730241076097
50,149.6780617873612,22.8610927450869,5.666915801840353,406.9992587338872,4.034133123640671,45.0,0.36776003536956525
55,166.26353256037027,20.073439868466405,5.371656062167858,338.75044300619163,3.7369183052954615,46.0,0.49081421439596856
60,145.6681005644592,12.180963714449637,5.119020164863491,195.89274976440697,2.3795498595724847,49.0,0.7436114952679407
65,170.44627515751085,21.78641079811669,5.337004047157631,365.28605503459397,4.082142454008377,53.0,0.466610407948283
70,171.7446878609849,22.130258399666964,4.464220907244328,310.3716425994675,4.957249844817272,55.0,0.5533517380085533
75,184.74513427816828,22.465841054985138,4.2240854657690905,298.1297056599988,5.318510062602325,56.0,0.6196803967225606
80,192.87825567285006,23.794467919055872,5.142838200323955,384.44014428080584,4.626719136829353,50.0,0.5017120572402199
85,154.9539501350095,15.206133491687313,5.3385873530755275,255.03220437529092,2.8483440442212027,46.0,0.607585816522952
90,178.61677028634568,25.280103403773918,4.480307757324052,355.8250883872489,5.6424926083365605,50.0,0.5019791355801051
95,176.2713382904343,24.31736416095854,4.598077777900104,351.2713133297013,5.288593480918462,47.0,0.5018096599450664
100,172.18770734564544,25.056660130011277,4.739249361451317,373.0633752691333,5.28705248848482,54.0,0.46155082154989546
105,175.34976541518054,24.191488403364975,5.04549167013763,383.45636917143486,4.794674133850088,52.0,0.45728739828751036
110,164.04938213092066,24.503301779961525,5.3347198031660445,410.6634915292528,4.593175027752972,42.0,0.3994739866454258
115,176.80794994278594,24.128290608811877,6.074755029089053,460.47408855712155,3.9718952440506996,55.0,0.3839693792473906
120,150.76537238859055,17.90427097785502,5.377953235706665,302.49871655801445,3.329197966799054,44.0,0.4984000398549663
125,158.01873638041317,16.40684912646099,4.988516430860314,257.1262785056554,3.2889235414689177,49.0,0.6145569301542144
130,157.97584316159973,17.153582557171184,5.548023743759429,298.98060804424233,3.0918365438623097,56.0,0.5283815702797116
135,164.90185777509515,25.920565339497603,5.171357322330545,421.1132333161703,5.01233307309272,57.0,0.3915855516496852
140,176.5705130757096,25.171294819084405,5.265066255598173,416.3506718266144,4.7808125476712835,58.0,0.42409085663548746
145,182.9514789775536,26.243835050026743,5.6923550238903875,469.32009584808713,4.6103651195126325,57.0,0.38982238475629355
150,167.38561498573122,25.97432628313673,5.336391895398253,435.4535950093877,4.867394822620739,59.0,0.38439369178275506
155,144.3326297914499,14.381188450007997,4.765542161294641,215.30641322420416,3.017744458712564,47.0,0.6703591761623588
160,155.14512979144982,16.067477376258473,5.492255838368379,277.2351732005402,2.9254786829143313,53.0,0.559615607213102
165,185.24634277715302,25.21496653543815,5.984806532446192,474.0873689030492,4.21316318225778,51.0,0.3907430463835789
170,204.78295442950446,29.668460708477976,6.008435786804726,560.0235770160838,4.937801078549199,54.0,0.36566845189023733
175,186.07324573829666,26.506776118968496,6.394148260866093,532.4630612459442,4.145474117514149,49.0,0.3494575666955977
180,203.66836206959027,25.06744155232086,7.5106938800923935,591.4798378203106,3.337566668608852,56.0,0.34433694784954605
185,204.55547878533037,24.378677254102143,6.275994090757234,480.6650406669464,3.8844327928869546,62.0,0.4255676229365455
190,200.50998365649522,24.271798543477715,6.2781496133053265,478.7221172011439,3.866075203438657,59.0,0.4188442030395
195,213.22229425772446,25.96752390905491,5.488198907355247,447.72387704637276,4.731520184928686,62.0,0.4762361472976347
