time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,14.0,279.082259967346,0.05016442106222757
1,10.0,273.67401230681696,0.03653982311184506
2,13.0,280.8988860409697,0.04627999841232521
3,10.0,277.43581335793937,0.03604437321543019
4,4.0,278.1274394315633,0.01438189632844281
5,8.0,290.25948307982645,0.027561545673254917
6,13.0,314.79730323116263,0.04129641476138635
7,15.0,302.5451477383249,0.04957937720083248
8,8.0,285.87712376694554,0.027984050960726075
9,11.0,290.59311402461543,0.03785361548198357
10,10.0,290.7210315992543,0.03439723622673624
11,12.0,300.582390719912,0.03992249835813507
12,9.0,297.24768202870405,0.03027778026249135
13,6.0,287.90745385283526,0.020840030085038777
14,8.0,286.5657015133646,0.027916809156684447
15,10.0,290.569065505187,0.03441522580049557
16,10.0,306.4858809775816,0.032627930422450574
17,12.0,301.09127419639486,0.03985502413521515
18,7.0,298.1666529939364,0.023476803759615444
19,11.0,309.9455896687895,0.03549010009064718
20,11.0,303.05390046224204,0.03629717348373316
21,11.0,302.64565280171325,0.03634613581318136
22,12.0,309.33791020457227,0.03879252947711493
23,10.0,305.97991507573767,0.032681883703133754
24,11.0,323.31507018412907,0.0340225402847305
25,9.0,318.32947314527263,0.028272594149310094
26,9.0,317.0705896687895,0.02838484644508139
27,11.0,321.1945119223707,0.034247160495253365
28,9.0,323.51481765243494,0.02781943672721991
29,13.0,321.9922932966091,0.04037363710449061
30,16.0,331.170594155508,0.04831346829207568
31,12.0,341.60441449906784,0.03512835165668723
32,11.0,346.54343866267044,0.031742052432011364
33,9.0,332.0223077178815,0.02710661238957256
34,8.0,342.9853804009118,0.023324609319058696
35,12.0,335.6480697996826,0.03575173248325752
36,12.0,338.18068613097614,0.035483989749055166
37,12.0,336.72250160337074,0.03563765398171975
38,11.0,344.1751666463157,0.03196046974331509
39,18.0,344.7834774397682,0.052206678039392135
40,16.0,350.53500160337063,0.04564451460429037
41,10.0,356.6067007444716,0.028042097860537827
42,13.0,361.5394433416122,0.035957349161807865
43,11.0,367.81349186104035,0.029906461408859334
44,12.0,356.91736091625154,0.03362122808818965
45,13.0,353.7390600573524,0.036750253132612175
