time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,10.0,273.22376426184144,0.036600037434579055
1,11.0,292.65866235182017,0.03758644938647444
2,9.0,284.1545362781961,0.031672906292049205
3,8.0,279.24400237226337,0.02864878003479949
4,7.0,292.24368670764596,0.023952613241574123
5,6.0,284.79393923933975,0.021067864070511776
6,5.0,271.20110915344986,0.018436502769503503
7,11.0,284.98143923934,0.038599005006644364
8,7.0,289.46856044179856,0.02418224621463664
9,8.0,294.1542206135786,0.02719661809819603
10,6.0,303.70307973423616,0.019756138150625498
11,8.0,308.55035155836765,0.025927696920762255
12,15.0,302.63950198781725,0.049563919784020215
13,12.0,309.5233854643002,0.038769283884639
14,10.0,304.44495833955386,0.03284665988407267
15,6.0,292.01957505529407,0.02054656780753104
16,13.0,293.330997308875,0.044318534758572115
17,12.0,304.99673503485076,0.03934468347219785
18,9.0,306.2412155501902,0.029388598082170887
19,10.0,305.8447689407835,0.03269632511496759
20,13.0,316.9945795420127,0.04101016496490929
21,8.0,325.6509873743216,0.02456617762624607
22,12.0,331.19908441317807,0.03623198421958721
23,15.0,355.60854057269194,0.04218121414025422
24,14.0,362.7797977833277,0.03859090303689287
25,9.0,359.9536569039851,0.025003218684900543
26,4.0,347.17516664631586,0.011521561402676574
27,8.0,332.7837931043857,0.024039632235006724
28,5.0,324.39515222504326,0.015413300617178584
29,10.0,345.5697734275022,0.02893771611103574
30,8.0,359.89452089580817,0.022228735186318807
31,8.0,357.1796083845573,0.02239769519929257
32,11.0,346.22770542341334,0.031770998760910066
33,8.0,351.56165203282023,0.022755610441986304
34,12.0,361.9965501227991,0.03314948718690627
35,7.0,367.3438219469303,0.01905571723760004
36,7.0,371.48582681809546,0.018843249175769156
37,13.0,359.875229779239,0.036123630981700766
38,9.0,330.0045407649151,0.027272352008063182
39,13.0,340.8925503150219,0.03813518361720308
40,14.0,338.1373464949795,0.04140329409075748
41,13.0,356.4340501227993,0.03647238527161256
42,10.0,357.1030210880312,0.028003123495095976
43,8.0,361.1973753375233,0.022148555184057877
44,10.0,356.05981220460023,0.02808516900035258
45,11.0,351.1895696074594,0.03132211475498888
46,7.0,356.7598753375236,0.019621040604348893
47,8.0,348.1644433416123,0.02297764792756437
48,14.0,346.1888075256583,0.040440359987554964
49,15.0,340.27230771788146,0.0440823412889551
50,9.0,341.4650115379241,0.0263570195946721
51,8.0,346.84305986512925,0.023065186897817183
52,12.0,330.66583675264883,0.036290413663073624
53,10.0,327.8507348426276,0.030501685484402293
54,14.0,319.1395019878172,0.04386796342288719
55,17.0,348.5334774397679,0.048775802327160576
56,11.0,356.84090437229116,0.03082606244188791
57,9.0,365.8801179346642,0.024598220998734738
58,11.0,372.41425842956045,0.029537000130945772
59,11.0,358.2459187935636,0.030705164868434033
60,17.0,367.3672391371231,0.046275220512122475
61,15.0,373.2518846954074,0.0401873389393352
62,12.0,370.75188469540745,0.03236665947054765
63,16.0,385.44014677720907,0.0415109846075486
64,13.0,377.70378765655084,0.03441850578374662
65,12.0,388.13913216371316,0.030916748674901767
66,9.0,387.9527099101321,0.023198703785533084
67,6.0,390.79370016780217,0.015353369303096932
68,15.0,405.5855156401964,0.036983569238963704
69,15.0,397.9615933866154,0.03769207946010926
70,11.0,396.31590885900994,0.027755635729256756
71,14.0,400.995287464328,0.034913128502153334
72,13.0,400.38177285083276,0.03246901053321254
73,15.0,415.8404037956215,0.036071530960161934
74,14.0,406.50233111259075,0.03444014690317325
75,12.0,411.74712729254816,0.029144101329634648
76,19.0,416.5902730430559,0.04560836205130572
77,16.0,426.4960495461295,0.037515001644275375
78,12.0,415.18862261360584,0.028902526096356372
79,11.0,411.8065789653434,0.026711569367437744
80,9.0,413.16717600419935,0.02178295015359237
81,12.0,429.04998173426355,0.02796876939953425
82,16.0,419.44750609008946,0.038145416929868455
83,10.0,423.71203980379903,0.023600934268071604
84,18.0,394.25955967290594,0.04565520241267845
85,12.0,405.5144478283309,0.029592040590080377
86,7.0,399.552452891719,0.01751960211816555
87,11.0,394.44521984468565,0.027887269122772722
88,14.0,396.26844314938916,0.03532958589569582
89,14.0,397.27732662587266,0.03523986661636041
90,14.0,403.4807537506185,0.03469806148090289
91,20.0,413.62396712076844,0.04835309747454859
92,14.0,416.29706415962465,0.033629831207821946
93,16.0,426.1921173579951,0.03754175487614717
94,15.0,434.7535396115758,0.034502306786050624
95,18.0,431.58120465452066,0.0417070989326538
96,13.0,432.5870398037992,0.030051755609451867
97,16.0,432.88621458907437,0.03696121396517168
98,15.0,432.3370398037991,0.03469515359314858
99,17.0,426.83075823733714,0.03982843239836815
100,14.0,436.1836802986949,0.032096569936804875
101,16.0,439.178476478652,0.03643165787241794
102,12.0,429.05715613509244,0.02796830172486785
103,20.0,438.5176269081019,0.04560820084021687
104,16.0,421.9483989244563,0.03791932862118661
105,18.0,435.61014132937373,0.04132135203525905
106,21.0,449.2429470594383,0.04674530816222595
107,14.0,468.58178182426974,0.029877388628929583
108,14.0,453.14827714532834,0.030894964642026183
109,13.0,456.88235002058167,0.02845371461474573
110,20.0,454.9947868876588,0.043956547583342165
111,12.0,461.43228688765817,0.02600598254825103
112,17.0,468.0199131535056,0.03632324079002207
113,16.0,477.2403451494169,0.033526084210232975
114,16.0,478.30804896945983,0.03345124556125044
115,21.0,477.2008159224259,0.04400663054066063
116,10.0,471.34757819645046,0.021215766161913223
117,20.0,467.8546218447138,0.04274832194911655
118,20.0,472.0886947199667,0.04236492045602487
119,16.0,486.09910236005305,0.03291509883955478
120,16.0,480.3694712230404,0.03330769534388466
121,18.0,476.606146008316,0.037767032907053466
