time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,10.0,314.4435649285175,0.03180220909362003
1,4.0,307.6902009366948,0.0130000890110341
2,10.0,310.24641937023324,0.032232442908765625
3,12.0,310.29667190192714,0.03867266743934895
4,9.0,300.6915943477315,0.029930999632773403
5,12.0,295.9844875665448,0.040542665254719126
6,10.0,290.2611379959945,0.03445173566479298
7,14.0,278.1246526094898,0.050337141525016726
8,9.0,290.0119000777956,0.031033209318602973
9,11.0,297.0537155501901,0.037030339713564175
10,14.0,312.39622997146233,0.04481488141287401
11,19.0,296.0492738119486,0.0641785056769599
12,8.0,294.64578355427886,0.027151245483634286
13,14.0,298.1967981677739,0.04694886090669292
14,8.0,296.4327108712481,0.026987574942344
15,12.0,285.89565280171286,0.04197335595138544
16,13.0,294.05250705120545,0.04420979140890718
17,12.0,274.7358809775816,0.04367831372189495
18,13.0,292.33023522707407,0.04447025464164512
19,13.0,289.8106284458874,0.04485687798861153
20,8.0,295.88461383239195,0.02703756676084453
21,8.0,287.61164305938263,0.02781528562231486
22,15.0,285.8934973088751,0.052467090511660784
23,18.0,297.27186130069776,0.06055063510297249
24,12.0,298.1978759141931,0.04024173533500627
25,10.0,303.7859485972239,0.032917914887691364
26,15.0,302.69388059313496,0.04955501568319514
27,12.0,296.9990212802544,0.040404173550041944
28,18.0,300.8196426749362,0.05983651812076211
29,9.0,299.52706512074053,0.030047368161444994
30,5.0,305.84660876900375,0.016348064214687243
31,12.0,310.93943885489387,0.03859272417867854
32,10.0,307.2796670307621,0.03254364369966233
33,7.0,311.80891937023296,0.022449646450582773
34,11.0,313.28639501440733,0.035111642813260804
35,11.0,307.31964267493623,0.035793351522392346
36,12.0,319.97237085080496,0.037503238070499836
37,11.0,313.637662159597,0.035072318561036084
38,9.0,326.8695795420129,0.027533917388733998
39,13.0,338.7782736197254,0.03837318096316987
40,10.0,335.4380454438567,0.02981176445494681
41,12.0,323.61881746021174,0.03708066203991792
42,9.0,315.87065728843174,0.028492675062824237
43,11.0,311.8303659796397,0.0352755895515263
44,12.0,305.03334668720254,0.03933996112335036
45,14.0,303.59216703076225,0.046114496750442886
46,12.0,299.8780166013127,0.04001627106915936
47,14.0,301.81704076491496,0.04638571753443368
48,9.0,308.6857591984531,0.029155863954883413
49,10.0,320.9428028467161,0.031158199876431095
50,11.0,324.53347743976826,0.03389480828535338
51,14.0,336.3914725686033,0.041618177455865366
52,15.0,351.21177829866724,0.04270927379674647
53,11.0,361.22662767699467,0.03045179717436582
54,14.0,379.5306906176951,0.0368876624370342
55,13.0,373.51032175470743,0.03480492838572046
56,10.0,378.3680012189246,0.026429296261271253
57,10.0,384.2688895665728,0.026023444185864927
58,17.0,379.5469334070588,0.044790244640885386
59,10.0,381.8339914765941,0.026189391786019096
60,10.0,375.54921965246257,0.026627668163587484
61,12.0,380.09991860134016,0.031570646066320124
62,14.0,385.90017113303446,0.036278812623728195
63,11.0,382.7806906176951,0.0287370817536518
64,10.0,391.7944622496033,0.025523586889365547
65,10.0,375.4556274847713,0.026634305808628758
66,13.0,382.04293808600073,0.03402758879703098
67,12.0,372.2806906176949,0.0322337427173281
68,10.0,359.2817683641139,0.02783330767250485
69,10.0,366.88684591830946,0.027256360131882696
70,9.0,366.75220036002526,0.024539730071598962
71,16.0,370.01260800011073,0.043241769750708633
72,9.0,367.08583130481423,0.02451742680454136
73,12.0,363.718952699496,0.03299250674438838
74,7.0,353.0654624418263,0.019826351610796177
75,12.0,356.9138120123767,0.03362156239440763
76,8.0,357.23259357883876,0.022394373144550304
77,7.0,353.4685062823126,0.019803744536179845
78,9.0,355.47554993057616,0.025318196994864164
79,11.0,358.98963722710164,0.030641553012409808
80,8.0,356.06133636820266,0.02246803902271267
81,9.0,351.99439462996077,0.025568588981257447
82,10.0,350.8934431493891,0.028498680141317453
83,8.0,363.73519548886,0.02199402229758933
84,17.0,378.169777914221,0.044953354267923684
85,19.0,379.3117827853861,0.050090719198011745
86,15.0,389.53589443773774,0.03850736277243779
87,12.0,378.8520740941781,0.031674631922476805
88,11.0,383.96267113303435,0.02864861828244952
89,10.0,371.69154018824554,0.026904029063818446
90,16.0,375.20226349294876,0.042643665981777025
91,18.0,390.3251080001108,0.04611540388018003
92,18.0,387.0332925277165,0.04650762698589029
93,11.0,395.92866139070395,0.02778278279062287
94,9.0,400.98380207782355,0.0224447969054203
95,9.0,409.7690203191385,0.021963593033437645
96,16.0,409.9709232802823,0.03902715800423089
97,12.0,406.2094378937777,0.02954141110610521
98,15.0,417.230253173949,0.0359513719005086
99,15.0,415.4102631085023,0.03610888158553296
100,13.0,404.0625448671874,0.03217323695338555
101,16.0,415.60727791422073,0.03849788213598685
102,12.0,414.2652099101324,0.02896695091196094
103,12.0,419.1258069489884,0.028631021523951434
104,9.0,429.3414815420406,0.02096233508040087
105,14.0,420.7730156401966,0.03327209559457922
106,15.0,418.5030931943922,0.03584202899315869
107,14.0,422.61140398784465,0.03312735971602573
108,13.0,417.4343116279305,0.031142624451023136
109,14.0,423.129617357995,0.03308678812751388
110,13.0,420.8803794397958,0.03088763609580324
111,15.0,423.10817074858795,0.035451927041402
112,14.0,429.3186415215974,0.03260981156182968
113,13.0,434.119340470475,0.029945682645493993
114,11.0,437.6193404704751,0.025136000589402966
115,11.0,441.81020446229763,0.0248975688856881
116,11.0,440.9336802986951,0.024947062316828316
117,12.0,440.7739084745634,0.027224841963830775
