time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,12.0,335.44635175059057,0.03577323150893047
1,12.0,340.2671038978385,0.03526641236410226
2,12.0,358.42916196737366,0.033479418734049075
3,14.0,365.6074628262726,0.03829243498416345
4,12.0,370.1022590062302,0.03242347137307799
5,14.0,365.9617782986674,0.03825536116117124
6,8.0,361.62338995101896,0.0221224628226719
7,12.0,373.867554801741,0.032096928032076776
8,11.0,370.6301179346644,0.02967918544045335
9,11.0,356.70181707576535,0.03083808232371169
10,16.0,352.41121010235554,0.045401506936606544
11,16.0,369.3768846954075,0.043316191843444096
12,13.0,377.64281182015395,0.03442406314406702
13,9.0,373.537734265958,0.024093951358584886
14,15.0,383.63208851545016,0.03909996178381699
15,19.0,373.29325375061853,0.0508983213843267
16,15.0,365.7695208958082,0.04100943119389339
17,7.0,380.8410351248571,0.018380372266620586
18,9.0,380.3551224213826,0.02366209752271774
19,12.0,368.0895109612546,0.03260076596223121
20,14.0,377.36171965246257,0.037099682535084715
21,8.0,370.4666664540926,0.021594385472171334
22,10.0,384.1752973988815,0.026029783975457434
23,10.0,370.94598192648715,0.02695810303178258
24,10.0,366.14204973835217,0.027311804276908578
25,16.0,369.33215164837384,0.043321438246277974
26,10.0,376.3436370348785,0.026571460271754846
27,18.0,368.4171760041997,0.048857656950811686
28,16.0,364.8202198446858,0.04385721823974463
29,14.0,366.7655255747498,0.038171526557903505
30,18.0,377.50004486718717,0.04768211353811308
31,14.0,377.50924400828836,0.03708518459402977
32,14.0,382.2607681718908,0.03662421353609752
33,13.0,385.6590546095177,0.03370853048727868
34,7.0,377.26032175470704,0.018554826989071405
35,12.0,380.45073932934616,0.03154153418430321
36,20.0,385.2022634929492,0.05192077486420607
37,13.0,382.0683800164655,0.03402532290015666
38,13.0,388.677899308903,0.03344671776582853
39,17.0,389.92866139070446,0.043597718463086195
40,12.0,409.7578505972514,0.029285588994839615
41,14.0,413.8111514561509,0.03383185772238305
42,13.0,407.2175592884595,0.03192396718529328
43,18.0,423.90519004102504,0.042462325120996944
44,11.0,431.7728307281444,0.025476359828962677
45,12.0,431.6810783886738,0.02779829971883903
46,17.0,422.7357726586095,0.04021424516095722
47,14.0,428.65442795922394,0.03266034149385192
48,12.0,426.4846949121905,0.028137000326519796
49,11.0,434.4566510717045,0.0253189817047697
50,22.0,435.4802531739486,0.05051893820593583
51,16.0,438.54611716577153,0.03648419031367677
52,12.0,428.007981349817,0.028036860345817313
53,15.0,438.9041122946064,0.03417602975187328
54,11.0,414.9081076156647,0.026511894557118314
55,12.0,420.1144523150497,0.028563644820771443
56,17.0,430.36121907579303,0.0395017005400899
57,12.0,438.73285508397055,0.027351496157504047
58,12.0,427.379617357995,0.028078082137333624
59,15.0,434.70804448274106,0.03450591768516383
60,11.0,429.17358832322697,0.025630654586589988
61,13.0,435.74420971790903,0.029834016631949983
62,15.0,429.38437476085437,0.034933735090743
63,17.0,430.8207970144354,0.039459562114477924
64,13.0,435.93215613509267,0.029821154087957165
65,11.0,444.01915107170436,0.02477370620940541
66,8.0,439.75582585697924,0.01819191362481647
67,14.0,441.63970933346246,0.031700048034922566
68,12.0,441.47625785289085,0.027181529666763307
69,11.0,459.1994225113893,0.02395473395815774
70,9.0,465.73527208193974,0.01932428256886795
71,18.0,449.99999070770156,0.0400000008259821
72,12.0,453.07581592242593,0.026485633481824592
73,17.0,449.2437091412398,0.037841375747913464
74,17.0,441.56172862590046,0.03849971339885465
75,18.0,460.4727089490163,0.03909026452638905
76,12.0,455.2656021678297,0.026358239987514596
77,15.0,451.044408090117,0.03325614890896299
78,18.0,457.1487235625117,0.03937449471526006
79,14.0,466.7012623396099,0.029997776157315078
80,20.0,460.7049419960499,0.043411733143881664
81,19.0,450.4230877465575,0.04218256238830025
82,14.0,448.3017674029982,0.03122896454569358
83,15.0,453.5888254725331,0.033069597744991894
