time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,14.0,356.57453083036154,0.039262478919618704
1,8.0,354.01755031502216,0.022597749724219063
2,12.0,338.0578416238144,0.035496884031323304
3,12.0,349.3436911943642,0.03435012654435933
4,15.0,344.72313293260584,0.04351318077319904
5,16.0,345.0319532761659,0.04637251665556173
6,17.0,348.12554544385665,0.048832957599607256
7,11.0,347.26571048680205,0.03167603269721057
8,18.0,342.25942892034016,0.05259168478361905
9,20.0,353.16291917800993,0.05663108699676113
10,20.0,355.2006085767803,0.05630620983487643
11,20.0,368.57008909211993,0.05426376309934696
12,14.0,374.7994045645142,0.03735331441165665
13,15.0,381.19921516574374,0.03934950388992293
14,13.0,383.3948365604261,0.03390760323385601
15,10.0,384.0143170757651,0.026040695764025443
16,12.0,385.8719965399823,0.031098395601652878
17,16.0,385.64128765655124,0.04148933351308966
18,11.0,378.967428535894,0.02902624123265024
19,8.0,375.68709845000365,0.021294316554936576
20,17.0,368.458098642227,0.04613821778553715
21,13.0,372.1219965399823,0.034934779778876164
22,16.0,374.5025160246428,0.04272334447800393
23,17.0,371.4466132557224,0.04576700767573388
24,12.0,393.48290924345656,0.030496877292770383
25,7.0,393.2488363682026,0.01780043410845807
26,14.0,392.45105499396396,0.03567323828500174
27,14.0,395.5513751453003,0.03539363248290388
28,17.0,395.8010594806827,0.04295087037489271
29,17.0,405.528535124857,0.041920601209396814
30,16.0,406.9649573784381,0.039315424362499955
31,16.0,402.79109825778056,0.03972282423620054
32,14.0,412.59991860133994,0.03393117489566692
33,15.0,419.55962729254827,0.035751771677356554
34,13.0,405.616161390704,0.032050004998390426
35,23.0,402.6394478283308,0.05712306661469065
36,16.0,409.6176855543068,0.03906081344692997
37,13.0,404.41686033958155,0.03214504951421693
38,14.0,410.41838450318414,0.0341115323499632
39,12.0,409.4571516483741,0.029307095874845368
40,14.0,411.857277914221,0.03399235791315998
41,15.0,415.4383069489885,0.03610644408350587
42,16.0,430.43462729254793,0.03717173058459697
43,16.0,427.3857681718908,0.03743690406079442
44,10.0,430.5832293947927,0.023224313715272945
45,16.0,421.72187027413565,0.03793969705578555
46,11.0,424.6169234725055,0.02590570321607133
47,15.0,424.4678749530774,0.03533836336061514
48,10.0,423.2377973988814,0.023627379363227046
49,16.0,417.58722471585105,0.03831534839430796
50,14.0,414.0395740941784,0.03381319293120403
51,14.0,416.98564190604327,0.03357429751299334
52,19.0,421.3676855543066,0.045091260320557366
53,13.0,425.1676224213831,0.030576175876148245
54,14.0,446.7608989244568,0.03133667255506009
55,16.0,455.23761248682945,0.03514648078526881
56,17.0,457.9096317792665,0.037125229128604095
57,22.0,450.3356463927619,0.048852450780262284
58,13.0,440.8633745686308,0.029487593549180718
59,17.0,435.8496029367226,0.039004280112807835
60,14.0,430.9136271003252,0.0324891094630909
61,15.0,439.08856396740157,0.034161673135977226
62,11.0,433.93799128437115,0.025349243949445776
63,16.0,439.4427486872303,0.036409748591363984
64,11.0,446.34300570564324,0.024644723585641536
65,15.0,443.4272679796674,0.03382741902261139
66,11.0,443.2915446749641,0.024814369080884593
67,14.0,446.74833579153307,0.031337553782254814
68,14.0,448.92695231504973,0.031185474447021005
69,17.0,446.9886902332483,0.0380322821839833
70,15.0,439.2878650185237,0.03414617428452636
71,13.0,452.192879439796,0.0287487941342756
72,15.0,453.8071561350924,0.033053687667134755
73,20.0,454.5197824009398,0.04400248520395016
74,14.0,461.9998599551354,0.03030303948871226
75,8.0,463.8456076156647,0.01724711815451463
76,14.0,476.879301693377,0.029357533342895422
77,13.0,480.56312203693676,0.02705159718643746
78,11.0,475.6614716074872,0.02312569055220249
79,12.0,473.4739716074871,0.025344582214855256
80,17.0,473.958044482741,0.035868153727727364
81,17.0,486.6475150635269,0.034932881549350606
82,23.0,481.9470055134198,0.04772308933738061
83,17.0,480.50322394695826,0.03537957531347718
84,25.0,475.4684521228267,0.05257972403506975
85,18.0,477.33640847456326,0.03770925427105609
86,23.0,479.29243750933114,0.047987404348628436
87,22.0,469.3889472516615,0.046869446178511666
88,18.0,471.2780345481875,0.03819401431950151
89,16.0,472.23361716577176,0.033881535363848095
90,8.0,464.50690360339837,0.017222564267485026
91,21.0,470.37669978335566,0.04464506853692392
92,19.0,462.4499230880589,0.04108552959231881
93,13.0,468.9221949121906,0.027723149258128747
94,22.0,467.9018260492024,0.04701841022028109
95,23.0,470.0038552761935,0.04893576880658619
96,15.0,473.49205422507123,0.031679517884517346
97,19.0,473.1891997833559,0.04015307198198718
98,21.0,464.27530188560036,0.04523178363077022
99,16.0,470.95880656454233,0.033973247292504526
100,16.0,478.97733559930987,0.03340450332577918
101,13.0,481.6685152557502,0.026989515794067265
