time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,12.0,400.1209187935634,0.02999093383115824
1,12.0,398.3395109612546,0.030125055812420296
2,10.0,396.3073410471446,0.025232941619444803
3,12.0,411.3070253825266,0.029175285758466386
4,15.0,409.92942347250556,0.036591664664944616
5,11.0,395.8756761964225,0.02778650132205169
6,13.0,399.50143827822393,0.03254055869242312
7,11.0,400.10974907167656,0.02749245682096448
8,9.0,391.0864626340495,0.023012813942428764
9,8.0,397.4525791575665,0.020128187410323666
10,12.0,408.38011793466427,0.029384388399436846
11,10.0,400.745918793564,0.0249534668502795
12,15.0,412.06806435184757,0.036401753248201565
13,6.0,399.1131130634994,0.015033332164772529
14,10.0,407.40753044591514,0.024545447132640903
15,4.0,399.60974907167673,0.010009765800990337
16,8.0,389.98690456451453,0.02051350931625085
17,5.0,382.4314482127774,0.013074238594567928
18,6.0,373.62078804099764,0.01605906360687194
19,11.0,370.4092395215694,0.029696883409841227
20,9.0,376.1704092434563,0.023925326870076133
21,8.0,380.4622247158508,0.021027054672707178
22,8.0,382.0110838365084,0.020941800744775793
23,12.0,382.59610819233404,0.03136466823119776
24,9.0,383.4995984500038,0.023468081939004466
25,10.0,380.77028297760904,0.026262553689327808
26,6.0,383.5639382782238,0.015642763568789436
27,8.0,392.33951096125435,0.020390503063021974
28,7.0,387.09794802055404,0.018083278497844982
29,8.0,380.095030445915,0.021047368050602144
30,8.0,382.40892385695184,0.02092001389327559
31,8.0,390.2702829776091,0.020498614291006582
32,8.0,382.8683168835418,0.02089491255144359
33,8.0,375.9363363682026,0.021280198869003647
34,9.0,391.9534719919335,0.022961909111970366
35,8.0,392.5887488794534,0.020377557998883064
36,8.0,406.20531182015384,0.01969447411741867
37,5.0,413.88024868723005,0.012080789107137384
38,10.0,413.4756806831415,0.02418521926967524
39,5.0,402.53925842956073,0.012421148733434497
40,5.0,414.5292972066581,0.012061873632799749
41,7.0,398.7056274847715,0.017556812639338438
42,6.0,407.4796760041997,0.014724660770413888
43,14.0,401.5806274847714,0.034862239465301155
44,7.0,409.03925842956033,0.01711327178441346
45,13.0,403.5107681718907,0.03221723191898105
46,6.0,406.5348166913186,0.014758883504326747
47,10.0,407.6820253825269,0.024528920524806135
48,8.0,406.1051224213831,0.019699332902526245
49,11.0,399.93862261360636,0.027504220342898605
50,4.0,394.42529739888175,0.010141337349249192
51,8.0,393.2226323559365,0.020344708930076474
52,7.0,394.6841808753647,0.01773569942548697
53,8.0,400.9874817342636,0.01995074750313936
54,8.0,404.23411774244096,0.01979051160915919
55,9.0,400.391287656551,0.0224780115788135
56,10.0,392.3154624418265,0.02548969122389058
57,10.0,392.60575375061853,0.02547084423615441
58,8.0,408.33475355839533,0.019591768592520577
59,8.0,402.15505928845977,0.019892824459686133
60,6.0,407.21387963201937,0.014734271841180676
61,13.0,398.92314190604327,0.032587730904470404
62,8.0,400.7863408549214,0.01996076009710091
63,3.0,402.5607050389671,0.007452292194563813
64,9.0,401.9445885154504,0.022391146086182593
65,8.0,405.6905931943921,0.01971946141764912
66,10.0,409.0418603395819,0.0244473756101591
67,11.0,401.5351323559366,0.027394863147987673
68,9.0,411.52377772199793,0.021869939204533374
69,15.0,421.80347647865244,0.03556158456830347
70,8.0,425.2961171657715,0.01881042331943456
71,8.0,405.68247179971024,0.019719856183359297
72,11.0,414.2051269081018,0.026556890017540826
73,9.0,409.78494744388473,0.02196273937376005
74,6.0,405.3958601473586,0.014800348473758567
75,7.0,413.4444036033982,0.016930934217493577
76,8.0,410.21876778744445,0.019501789357782903
77,11.0,406.13329701443496,0.027084703669615726
78,12.0,414.24941353795185,0.028968055494665433
