time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,19.0,382.2100692230128,0.0497108829147927
1,14.0,386.1687001678019,0.03625358552859561
2,10.0,383.7848166913188,0.026056267900882283
3,12.0,391.66165651953924,0.030638689798324292
4,10.0,376.76368574652986,0.026541836111900557
5,13.0,383.8002973988813,0.033871781986894035
6,15.0,380.9075304459151,0.03937963626615632
7,9.0,390.8942052311903,0.023024132564659135
8,10.0,387.2914139223981,0.025820350362850308
9,17.0,390.7433168835419,0.04350682216547473
10,14.0,387.563622613606,0.03612310130034508
11,15.0,388.89020991013217,0.03857129754813401
12,11.0,387.6752973988815,0.02837426081518429
13,18.0,393.9896372271016,0.04568648080869327
14,13.0,414.31299128437064,0.031377244434696555
15,18.0,420.2682582373371,0.04282978704005503
16,13.0,407.92421965246257,0.031868664260914815
17,18.0,409.7193991166798,0.04393250609760355
18,13.0,422.05931162793064,0.03080135810736535
19,17.0,410.43830694898884,0.04141913586568039
20,10.0,415.91502051136155,0.02404337306141323
21,10.0,438.0127387526769,0.02283038623140703
22,20.0,440.1236514561506,0.04544177513257907
23,9.0,438.05670971790926,0.0205452851202659
24,14.0,431.5763164990955,0.032439222137040834
25,6.0,428.02117581197655,0.014017998031564009
26,10.0,420.87104954612903,0.023760246780537855
27,11.0,416.9926855543064,0.026379359593269012
28,13.0,427.9746029367227,0.030375634233422228
29,12.0,425.2845010267012,0.028216405655579223
30,16.0,411.73595757066107,0.03885985594846698
31,11.0,422.902457378438,0.02601072613337064
32,15.0,429.97904467496386,0.03488542101241009
33,13.0,425.7848166913188,0.030531854332007828
34,13.0,433.0747923354931,0.030017909677664174
35,17.0,428.09731669131844,0.039710596953491134
36,19.0,426.7759332148358,0.044519848757346735
37,21.0,426.6676224213831,0.04921863974778029
38,13.0,435.84807877312016,0.02982690674373059
39,12.0,445.5174961555359,0.026934969116926992
40,10.0,448.47352519030363,0.022297860271142285
41,12.0,444.76045250727293,0.026980816150248364
42,12.0,441.1843116279305,0.027199516582357783
43,20.0,433.40689911667954,0.046146012074938625
44,12.0,441.2013164990955,0.027198468253039766
45,15.0,443.7952243314042,0.03379937227264696
46,15.0,441.897253558395,0.03394454226454659
47,11.0,438.3214283436707,0.025095738626256095
48,14.0,431.7008700819119,0.032429862829193766
49,19.0,425.0643846954073,0.04469911073263648
50,11.0,429.8935739019548,0.02558772837695116
51,13.0,424.77593321483556,0.030604370406797723
52,13.0,436.35556883856657,0.029792217467515487
53,15.0,446.13742308805894,0.0336219272890705
54,12.0,450.60709300216894,0.02663073925456881
55,15.0,456.3353307281446,0.03287056467020749
56,20.0,448.2827919510466,0.044614694918256065
57,17.0,451.885267595221,0.037620168700051214
58,15.0,449.4817773375513,0.03337176445472519
59,17.0,461.110903411175,0.0368674864858726
60,20.0,454.3013209858144,0.04402364482806446
61,14.0,446.1311415215967,0.03138090730956578
62,16.0,455.1156608140345,0.035155898549792564
63,20.0,448.04827265860933,0.044638047327634746
64,17.0,471.7984034111753,0.03603233897590025
65,11.0,489.7666799142488,0.022459674067508928
66,16.0,490.655451546157,0.03260944100301074
67,11.0,471.943772274163,0.02330786133058632
68,13.0,475.35138860545686,0.02734818980573136
69,23.0,486.1332428549489,0.04731213168004369
70,12.0,486.0843837342912,0.024687071631084474
71,12.0,479.76039834778686,0.02501248548510039
72,15.0,482.6091943355212,0.031081048964789613
73,17.0,494.16033970158213,0.03440178952901422
74,14.0,496.2375583273433,0.028212294222931214
75,13.0,487.38768459319056,0.02667281183120323
76,17.0,481.46274772611423,0.035309066132922604
77,16.0,481.15621362795815,0.03325323366263663
78,11.0,479.4756265236552,0.02294172923815411
79,19.0,475.9063985400104,0.03992381707471965
80,12.0,479.58057332528523,0.02502186424440666
81,14.0,499.4652188835694,0.028029979807790276
82,15.0,504.44269452774404,0.029735785972761292
83,11.0,512.4649032189518,0.021464884582154935
84,11.0,503.55665555842313,0.0218446124752367
85,10.0,504.33698564431285,0.019828012389820186
86,19.0,515.4491068467711,0.0368610591183897
87,13.0,507.9901602373651,0.02559104686973775
88,13.0,504.1206797220254,0.02578747613997558
89,15.0,513.2032329203956,0.029228186881524752
90,10.0,506.60183502264033,0.01973936789935452
91,16.0,518.5112911821541,0.03085757296339988
92,19.0,505.2786117179367,0.03760301655239354
93,12.0,498.83222824145355,0.024056184265206594
94,13.0,506.56966510853,0.025662807892799535
95,16.0,501.91249519441993,0.03187806670125291
96,17.0,507.16204877723635,0.03351985827998539
97,12.0,508.20278650321217,0.023612621415495038
98,25.0,498.2345100001384,0.050177174599955056
99,16.0,510.1883835420681,0.03136096492224563
100,14.0,518.9380678774507,0.02697817112793921
101,16.0,530.5374951944203,0.030158094658581394
102,20.0,517.8262623396097,0.03862299279614995
103,13.0,524.4128108590378,0.02478963086104775
104,15.0,529.3607184991233,0.028336065514133615
105,17.0,527.9483447649703,0.03220011989538102
106,18.0,523.3192186913462,0.03439583213666839
107,16.0,517.8074176402245,0.03089951873017951
108,15.0,527.8052621473863,0.028419572663925703
109,13.0,524.6395244214109,0.024778918466611552
110,15.0,530.1277233702888,0.028295068034996266
111,13.0,533.9639562250986,0.02434621260188525
112,15.0,547.8970144868575,0.027377407803633517
113,15.0,528.5822282414537,0.028377798568642146
114,21.0,529.4106553661996,0.03966674978514373
115,18.0,536.9465049367501,0.03352289256845115
116,19.0,547.848917448001,0.03468109435810537
117,21.0,534.0111604295885,0.03932502081624366
118,17.0,556.5904803887015,0.030543102332845955
119,18.0,558.5347083723464,0.032227182537061465
120,15.0,554.0276647240834,0.027074460275319092
121,12.0,544.6436504950348,0.02203275479130808
122,13.0,526.7582428549491,0.024679253103932437
123,14.0,524.4313398938053,0.026695582309849995
124,17.0,524.445742854949,0.032415173984359814
125,20.0,536.0468250880866,0.03731017341015586
126,16.0,534.095999873362,0.02995716126650212
127,14.0,533.3031066545482,0.026251487803667765
128,14.0,530.5460630062857,0.026387906679903365
129,13.0,536.7291212680442,0.024220783789944127
130,16.0,534.164465775206,0.029953321542607676
131,14.0,528.784261955163,0.02647582578996479
132,20.0,541.8660530717322,0.03690949061419133
133,20.0,534.7905435216252,0.03739781909436711
134,19.0,540.8389562250993,0.03513060548118528
135,17.0,550.2920676852273,0.030892685899525225
136,20.0,550.3038687363498,0.036343556962311646
137,13.0,546.9225871698882,0.02376936024396057
138,20.0,551.1474609040406,0.03628792912734142
139,13.0,552.8057085645701,0.023516399701725484
140,13.0,558.4296308181513,0.023279566990300628
141,19.0,570.2943539306312,0.033316128537914824
142,21.0,562.9784899388081,0.037301602770440756
143,22.0,555.938829959252,0.03957269903527428
144,19.0,554.3671308181508,0.0342733162623824
145,16.0,552.3156697874723,0.02896894090684898
146,19.0,562.1526647240838,0.033798647933698925
147,15.0,570.2554560328757,0.026304000849638933
148,16.0,561.6781066545482,0.028486066682033885
149,15.0,570.7358492516895,0.02628186054839028
150,16.0,561.0379416116039,0.028518570337755345
151,7.0,571.7831842087443,0.012242402703197491
152,11.0,557.3459998733618,0.019736393555348706
153,16.0,555.929946482769,0.028780604644934198
154,18.0,553.2157960533192,0.03253703189318396
155,14.0,561.5246163968786,0.024932121569012342
156,10.0,553.0518981555637,0.01808148572195512
157,17.0,543.3850826831696,0.03128536380876719
158,19.0,558.0815969122182,0.03404520074685163
159,20.0,557.2672570839989,0.035889422437366224
160,18.0,546.6485386504602,0.03292792119126037
161,15.0,555.9055822987232,0.026982999411471194
162,17.0,552.8501259469864,0.03074974428355318
163,17.0,563.092766634105,0.030190407349072766
164,13.0,561.9988588017959,0.023131719569175854
165,12.0,558.5143395093588,0.02148557190231088
166,23.0,555.6756354970926,0.041391053576471486
167,14.0,564.1789994889155,0.02481481943263126
168,20.0,562.7525384582364,0.03553959979424289
169,15.0,570.4718927077295,0.026294021128373046
170,13.0,556.1338200246985,0.02337566882629554
