time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,7.0,205.2981194724499,0.034096756550852717
1,7.0,212.6605563395264,0.03291630625109456
2,7.0,213.11398346427256,0.03284627261999217
3,10.0,222.17984745609513,0.04500858252671226
4,7.0,212.81741058901858,0.03289204572420073
5,7.0,217.34805633952632,0.03220640716963706
6,12.0,230.7648718119208,0.0520009822369338
7,5.0,217.40503685486587,0.02299854719252836
8,6.0,219.5347942577252,0.027330519612104115
9,7.0,238.5315610184683,0.02934622139775468
10,10.0,239.21017754198505,0.04180424136947453
11,5.0,238.8226144090615,0.02093604080322089
12,7.0,231.96385719842544,0.030177115023622376
13,9.0,228.6835271125356,0.03935569874069278
14,9.0,222.38910973011963,0.040469607576207094
15,10.0,216.79551756242853,0.046126414939000736
16,9.0,229.57813389372214,0.03920233973226013
17,13.0,222.20160973011963,0.05850542674191005
18,10.0,222.0880951166243,0.04502717714224501
19,7.0,223.1032601595692,0.03137560605341858
20,7.0,229.35402224137044,0.030520502459875122
21,13.0,235.21277945200643,0.05526910582956893
22,7.0,242.4243279714346,0.028874989810531004
23,8.0,239.59926483851112,0.0333890840833421
24,8.0,260.1600557628569,0.030750300912036323
25,11.0,254.41144917389332,0.043237047844027515
26,10.0,259.61487629863933,0.038518593936415386
27,14.0,245.38695423728166,0.05705274774494503
28,7.0,259.7221093456733,0.026951883371174434
29,8.0,240.46233303482308,0.033269243872974745
30,4.0,248.52895910844694,0.016094703870121543
31,6.0,251.8056095378963,0.023827904433943958
32,14.0,241.08701737020525,0.058070318977409156
33,13.0,228.843298936667,0.05680743137511658
34,11.0,234.68244936611657,0.046871847595383834
35,7.0,241.2441872843153,0.029016243163406206
36,9.0,242.02788136202793,0.037185798385507916
37,6.0,241.6343523272603,0.024830906459334185
38,9.0,248.72287142747444,0.036184850827537696
39,4.0,228.13650782009807,0.017533362100704573
40,6.0,230.8598573906486,0.02598979340893867
41,10.0,223.3214059100767,0.04477851086082913
42,5.0,224.87026503073437,0.022235042944947034
43,9.0,235.78263876488725,0.0381707493271989
44,9.0,244.57261440906163,0.036798886996182605
45,12.0,247.94285700620216,0.04839824847101696
46,8.0,276.5062498405693,0.028932438252707558
47,12.0,274.6974294970097,0.043684427706414446
48,8.0,270.44482758698814,0.029580894821982916
49,11.0,275.76544898167026,0.03988897101003815
50,12.0,275.9477451616274,0.04348649412942799
51,12.0,274.81570151336416,0.04366562730556516
52,10.0,283.0431771575387,0.03533029872129407
53,7.0,279.4747112556946,0.025046988933448148
54,9.0,288.9285847976245,0.031149565925794112
55,8.0,279.7547256769667,0.028596478506810335
56,12.0,268.80421612685967,0.044642156930815066
57,10.0,267.9433034233859,0.03732132832668214
58,9.0,286.3380409571381,0.03143138079004741
59,11.0,291.81767209415034,0.03769476989197222
60,8.0,303.6324583395541,0.026347644266192217
61,14.0,290.40269644997596,0.048208918757101156
62,6.0,301.53886617186305,0.019897932482707822
