time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,13.0,283.32610915345,0.04588352283819764
1,10.0,285.4042206135784,0.03503802423980075
2,10.0,286.2122788753368,0.03493910198155971
3,9.0,290.5318225235998,0.0309776737082525
4,14.0,292.19343417595167,0.04791346540514509
5,10.0,286.8009828876029,0.03486738399330728
6,13.0,276.81094411050503,0.0469634610790905
7,11.0,279.01805089169164,0.03942397262415809
8,13.0,277.54317715753876,0.04683955892246976
9,10.0,281.24032271582314,0.03555677899752808
10,13.0,289.8723663640863,0.044847324231215964
11,8.0,289.4270606340219,0.02764081555634472
12,8.0,298.06614793054786,0.02683967990173803
13,12.0,295.3357547117345,0.040631721044790944
14,9.0,296.3527595828994,0.03036921273372658
15,9.0,278.41037142747456,0.03232638192986458
16,9.0,286.6197644540646,0.03140048634518502
17,16.0,283.6441286381107,0.056408712131015795
18,10.0,296.41602166470096,0.033736368040563514
19,8.0,290.8979390471167,0.027501054239866034
20,9.0,285.68778393872515,0.031502922091797725
21,11.0,297.77845853177723,0.036940214057915616
22,17.0,303.7773807853583,0.05596203363150263
23,9.0,307.8798564295327,0.029232182008828215
24,11.0,307.60872548474345,0.03575971384643174
25,13.0,305.39425939067627,0.042567925231920364
26,9.0,292.97744391828206,0.030719088403646188
27,20.0,283.21811402461526,0.0706169521284989
28,12.0,282.53429368105543,0.04247272019143433
29,12.0,291.1271237669455,0.04121910677620783
30,14.0,304.28734200826057,0.04600914355359527
31,10.0,311.5624682741076,0.032096292134911976
32,8.0,315.9970506994683,0.025316691982699768
33,11.0,321.6076477383246,0.03420316673859114
34,12.0,325.34508460540104,0.03688391362836895
35,13.0,326.69711383239195,0.03979220951021163
36,17.0,321.173827394765,0.05293083853655596
37,15.0,317.8136767730923,0.04719746535863989
38,19.0,335.14959396328516,0.05669110254712528
39,20.0,322.28778842544403,0.062056338211606395
40,14.0,326.9072689407834,0.042825600193478676
41,12.0,323.72712825366443,0.037068255801525236
42,18.0,327.42427381194864,0.0549745435499936
43,11.0,335.1477541350648,0.03282134480772021
44,12.0,332.38626874856027,0.03610257440892548
45,10.0,322.71608928434284,0.03098698928267277
46,9.0,319.63582233137686,0.0281570442710561
47,9.0,319.29851173014737,0.028186789694799076
48,9.0,324.21792911256335,0.027759106427687228
49,4.0,329.08480771788123,0.012154921485859449
50,17.0,316.03074477718087,0.05379223471433432
51,9.0,323.9752884254438,0.02777989655859559
52,10.0,327.4567593906763,0.03053838320090799
53,17.0,334.6687543272883,0.0507964958789517
54,11.0,335.41507467084773,0.032795186712447584
55,9.0,342.811967697438,0.026253459178949376
56,11.0,344.93588995101896,0.03188998396647564
57,16.0,341.01983656042586,0.04691809180773252
58,15.0,341.93405012279874,0.04386810846890812
