time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,7.0,245.51011440906154,0.028512063614360147
1,7.0,237.7467891943368,0.02944308953118237
2,5.0,229.51226990189932,0.021785327652143197
3,6.0,219.1116972188688,0.027383293891455968
4,14.0,211.93231861355085,0.06605882524943436
5,6.0,208.95224105935495,0.028714695614562184
6,6.0,206.52546436405842,0.029052107537806262
7,9.0,207.02514869944068,0.04347297928072598
8,9.0,208.7074448793978,0.04312256328565891
9,5.0,201.5976099223428,0.024801881341381202
10,7.0,197.7939933988259,0.03539035680363361
11,9.0,194.06467792643153,0.04637629112193118
12,8.0,201.14050314115633,0.03977319274370991
13,11.0,198.80211479350797,0.05533140334762281
14,9.0,207.4608088712205,0.0433816876014721
15,6.0,210.95452730475876,0.028442148536267278
16,6.0,209.87089635996963,0.028589004497835788
17,6.0,203.1807944499484,0.029530350130991548
18,4.0,216.6061777342083,0.018466693987409234
19,6.0,209.3491340859454,0.028660257068638187
20,7.0,209.8561777342084,0.033356177909929306
21,6.0,209.31696417183525,0.028664661862162308
22,2.0,213.81220676897587,0.009354002889839683
23,6.0,227.56449301437968,0.026366151944542875
24,8.0,222.1361921554805,0.03601394226835641
25,3.0,223.64215805732468,0.013414286582009419
26,4.0,225.490507627875,0.017739105925474986
27,4.0,225.96017754198508,0.017702234276465684
28,8.0,221.4601775419851,0.03612387603402573
29,8.0,225.03708050312892,0.03554969688601505
30,8.0,227.179085374294,0.03521450923538767
31,7.0,228.81404659719618,0.030592527443574245
32,6.0,233.9335271125356,0.025648311612527657
33,6.0,227.4908232924926,0.026374690254145322
34,4.0,231.327371811921,0.017291511889272533
35,5.0,225.03555633952635,0.022218711039850795
36,12.0,228.73790571785355,0.05246179011012678
37,7.0,227.953133893722,0.030708066524163656
38,6.0,219.3498961677467,0.027353557511654945
39,13.0,220.60617773420827,0.058928540141168294
40,4.0,235.9243279714346,0.01695458893278829
41,4.0,236.92509005323595,0.01688297342886403
42,3.0,231.32445423728169,0.012968797483567137
43,4.0,227.62807076079866,0.017572525157511752
44,13.0,225.194250417239,0.057727939216537065
45,8.0,231.6728038078321,0.03453145931896192
46,9.0,233.03447859310745,0.03862089444590109
47,9.0,238.6576387648873,0.03771092367534197
48,5.0,238.6665222413703,0.020949733347785396
49,7.0,242.35922606141307,0.028882746135796878
50,6.0,234.123629022557,0.02562748589302757
51,7.0,238.67388155425118,0.02932872233197784
52,5.0,246.62883284259996,0.020273379808722652
53,6.0,241.1957745808414,0.024876057677324627
54,7.0,244.9787065767527,0.028573911985313203
55,5.0,244.70909979556612,0.020432423658037564
56,7.0,234.20237181192095,0.02988868108313367
57,6.0,240.3843523272603,0.024960027314222075
58,8.0,239.7575124990402,0.033367046215213074
59,10.0,246.451294065502,0.04057596872403597
60,13.0,240.7844785931075,0.05399019104536303
61,9.0,246.5644930143795,0.03650160609084587
62,7.0,231.46233303482293,0.03024250169874019
63,6.0,220.03663408594534,0.027268186613218354
64,9.0,233.14767754198513,0.0386021430489235
65,5.0,236.78892033134906,0.02111585285748709
66,5.0,241.12178919433686,0.020736408835993463
67,7.0,240.8351775419852,0.029065521372099716
68,11.0,232.69348833543768,0.047272487419772684
69,7.0,225.47933790598813,0.03104497318915579
70,9.0,224.69900782009816,0.04005358139901407
71,11.0,218.34577009412277,0.05037880969829737
72,5.0,227.84545442950485,0.021944699368786375
73,4.0,224.5714059100767,0.01781170663197294
74,9.0,226.81696417183514,0.03967957173248142
75,8.0,219.58764869944065,0.03643192159204708
76,6.0,219.68752243359367,0.027311519259422927
77,7.0,219.31880400005545,0.031917007900509206
78,8.0,232.94716799187808,0.034342551012592384
79,10.0,224.27927477306457,0.04458726741522787
80,9.0,233.6746436360523,0.038515090298019146
81,10.0,231.10954172603093,0.043269524595633144
82,9.0,235.33809511662426,0.03824285224854886
83,7.0,235.16499807776793,0.029766334519243095
84,7.0,235.56772625363644,0.02971544579270201
85,9.0,230.41576015956926,0.03905982817220164
86,12.0,231.3691872843154,0.051865160356266184
87,3.0,235.2933620695906,0.012750040942985536
88,8.0,241.73835213503708,0.03309363172762563
89,7.0,242.3999637873888,0.028877892102903792
90,3.0,232.07813389372214,0.012926680983111576
91,7.0,237.37591526796064,0.029489091140936032
92,5.0,238.442094924401,0.020969451730346814
93,2.0,246.24494936611654,0.008121993994794198
94,4.0,237.5736921554805,0.016836881069231324
95,10.0,235.288920331349,0.042500938785886545
96,5.0,239.01119215548056,0.02091952244959065
97,10.0,227.2792747730645,0.04399873244045184
98,7.0,242.0766097301196,0.028916465774219108
99,5.0,232.2437408671319,0.021529105504981216
100,6.0,226.39278938656,0.02650261086608704
101,9.0,223.52959043768232,0.040263125711354555
102,9.0,227.6464690430003,0.03953498614687489
103,10.0,223.46816818410113,0.04474910266307656
104,9.0,237.44456608185655,0.037903583764883224
105,7.0,233.20084764831836,0.030017043551044217
106,5.0,224.59760992234274,0.022262035654470273
107,8.0,227.41823131702475,0.03517747875212286
108,11.0,233.9027506094621,0.047028091680573064
109,12.0,231.5392359959667,0.0518270691720216
110,7.0,231.67051756242844,0.030215325081723893
111,5.0,223.368740867132,0.02238451083437044
112,8.0,223.3206438282755,0.03582293093401466
113,12.0,225.58105146836135,0.0531959573815669
114,8.0,227.3014834642725,0.03519554680450402
115,10.0,234.69793007367926,0.042607959929006095
116,9.0,237.29336206959061,0.037927736037388964
117,10.0,228.9419641718352,0.04367919195667588
118,11.0,228.72933790598816,0.04809177563623778
119,10.0,226.13466799187796,0.04422143711445062
120,6.0,224.14907095302175,0.026767900373129403
121,9.0,225.74006121069164,0.039868864887034665
122,9.0,224.5651243436151,0.04007746094281665
123,12.0,230.10173599596666,0.05215084513838845
124,11.0,236.5951387648873,0.04649292482264852
125,9.0,236.54888155425115,0.03804710443298334
126,13.0,224.42527496528766,0.057925739433808146
127,5.0,239.7219785931074,0.020857495125579457
128,5.0,230.26594955833974,0.021714022457902354
129,15.0,240.2075756319637,0.0624459905585259
130,10.0,229.25262434361505,0.04362000229498577
131,5.0,245.9690610184683,0.02032775983815534
132,7.0,236.49158537429395,0.029599361807825585
133,12.0,248.42908537429406,0.04830352284202262
134,6.0,245.1162697096762,0.024478179302853287
135,9.0,234.0988184213276,0.03844530297372938
136,5.0,235.79888155425118,0.021204511094551695
137,11.0,241.69945423728188,0.04551106676972902
138,13.0,239.36398346427245,0.05431059348133043
139,9.0,224.1116972188688,0.04015854643771916
140,9.0,237.0240709530218,0.037970827029562754
141,9.0,237.89907095302175,0.037831169175844497
142,9.0,250.30592520251417,0.03595600061292357
143,12.0,241.2230563395265,0.049746488507755864
144,5.0,247.10586206959061,0.02023424275783424
145,7.0,255.66544449495143,0.027379531144022976
146,7.0,241.59437668308607,0.028974184317138815
147,10.0,247.865507627875,0.04034445976651654
148,9.0,246.68137161969776,0.03648431148613469
149,9.0,248.3448231002695,0.03623993400646101
150,7.0,244.30376970967626,0.02865285299657309
151,8.0,244.69285700620225,0.032694047950068375
152,14.0,244.98207056857535,0.05714703924049463
153,4.0,231.718298936667,0.017262339739052182
154,5.0,237.57965805732454,0.02104557284442918
155,5.0,236.81817267081993,0.02111324457751838
156,8.0,240.784925010291,0.033224671352071085
157,5.0,242.428007627875,0.020624679668509914
158,7.0,243.89843962378646,0.028700470617186013
159,10.0,239.87591526796064,0.04168822029852058
160,7.0,234.67172606141332,0.029828902345773466
161,8.0,234.5608133579392,0.03410629373880973
162,7.0,233.0796580573246,0.03003265089001628
163,6.0,238.83670170558756,0.02512176712018139
164,9.0,244.56373093257838,0.03680022367045558
165,5.0,234.26487181192076,0.021343362158088488
166,8.0,232.37026503073412,0.034427812865565614
167,6.0,244.54856588963344,0.02453500382704286
168,8.0,245.06449301437962,0.032644467999411834
169,8.0,234.18980867899725,0.03416032510178766
170,7.0,231.6262309325785,0.030221102212026892
171,5.0,229.8799105890188,0.021750486970299205
172,6.0,231.94088642541624,0.02586866029732702
173,6.0,228.0847311248015,0.026306013429355648
174,10.0,223.5373961677465,0.04473524417585959
175,7.0,219.9097942577251,0.031831233454733224
176,5.0,221.61245930066997,0.02256190836823083
177,6.0,231.7156970266456,0.025893800363943596
178,5.0,234.43536694075576,0.021327840015126862
179,4.0,241.2893667485325,0.01657760577642333
180,7.0,236.041968658554,0.029655743170511492
181,7.0,230.65180361560905,0.030348776338492436
182,7.0,232.39368222092716,0.03012130077333766
183,5.0,234.25199301437956,0.021344535581787238
184,8.0,224.85142033134903,0.035579050326704255
185,6.0,229.33149788554456,0.02616300009078778
186,5.0,235.0752163190829,0.021269787935505605
187,9.0,243.0134784008842,0.03703498282985465
188,9.0,225.15947859310742,0.03997166833142377
189,3.0,232.83854153380776,0.012884464832315595
190,6.0,240.0830220491471,0.02499135486045218
191,7.0,236.1455220491472,0.02964273867764955
192,5.0,235.2179832720494,0.021256878111301034
193,4.0,247.040890912135,0.016191651451834665
194,8.0,251.18289578330007,0.03184930237806376
195,10.0,244.82153666264276,0.04084607970490652
196,5.0,247.0893036156088,0.02023559873631109
197,8.0,248.27312395916863,0.03222257758884805
198,7.0,239.79304640497284,0.029191838983429478
199,6.0,242.96093962378635,0.024695327608177345
200,5.0,240.1377163190828,0.020821385647543402
201,7.0,245.37775509618086,0.02852744331798213
202,6.0,239.40104153380776,0.02506254760446684
203,3.0,239.05560953789643,0.01254938131675351
204,7.0,251.88111908800346,0.027790888119543035
205,7.0,230.77420170558756,0.030332679945439995
206,7.0,250.8970462127497,0.0278998900372239
207,3.0,235.24387161969764,0.012752723288153881
208,10.0,230.44241058901875,0.04339478993662518
209,4.0,246.25167734976193,0.01624354417825397
210,8.0,237.224264838511,0.03372336301872809
211,5.0,228.70389597552332,0.021862329798418113
212,5.0,230.67800762787508,0.0216752348930718
213,11.0,230.4413328425997,0.04773449217772674
214,7.0,235.03200743565196,0.029783177518561972
215,6.0,224.6351144090615,0.0267099826123977
216,5.0,227.65027945200663,0.021963513561397155
217,8.0,228.58257563196364,0.034998293189593965
218,7.0,235.29596397961194,0.02974976655615963
219,6.0,234.57705614730315,0.025577949090776753
220,7.0,220.1827650307343,0.03179177080014824
221,4.0,228.0710902454589,0.017538391190637298
222,7.0,231.82445423728174,0.030195261423263033
223,8.0,223.56480867899734,0.03578380715314948
224,8.0,225.7353038078322,0.03543973789235191
225,7.0,226.499706768976,0.030905117273020682
226,8.0,230.2915222413704,0.034738577964737824
227,7.0,221.1479932066028,0.03165301162584098
228,6.0,234.97642033134895,0.025534476997901227
229,9.0,232.89247372194225,0.03864444331827308
230,7.0,235.8618279714346,0.029678392897250737
231,2.0,237.92616779965488,0.008405969038614092
232,7.0,231.07185232726036,0.030293607505626013
233,5.0,234.70205614730318,0.021303605439493514
234,6.0,234.92800762787508,0.025539739005933995
235,4.0,233.81189110435815,0.0171077697593005
236,4.0,233.17356588963344,0.01715460320186249
237,7.0,225.9128425849301,0.03098540091791553
238,6.0,227.64583771376508,0.02635673052605608
239,6.0,227.233463979612,0.026404561612185504
240,6.0,224.0637309325784,0.0267780955669502
241,7.0,225.61550762787508,0.031026236066829395
242,5.0,231.61519196325736,0.02158753041032465
243,6.0,224.25643475262115,0.026755085117707512
244,8.0,229.3884784008841,0.034875334871959145
245,6.0,230.96170170558761,0.025978333012320557
246,9.0,236.1303570062023,0.0381145402654162
247,12.0,245.43473561152032,0.04889283487156387
248,3.0,238.95878413094835,0.012554466289701296
249,9.0,241.05269196325713,0.03733623518866091
250,6.0,244.48467247859676,0.024541415783540646
251,5.0,230.4949493661167,0.021692449286851972
252,9.0,232.16912415139174,0.03876484451968438
253,5.0,239.34850275670993,0.020890040850108593
254,3.0,219.79811947244986,0.013648888385398714
255,7.0,234.04672606141324,0.02990855765341156
256,3.0,241.9901919632573,0.012397196661819692
257,4.0,239.2483133579393,0.01671903113488454
258,8.0,249.51944430272832,0.03206162959506289
259,6.0,249.0508521350372,0.024091465451990327
260,4.0,259.65332777921145,0.015405155921595899
261,3.0,250.62959492440106,0.01196985535927993
262,6.0,236.92248814321445,0.025324738259430785
263,7.0,237.5108764908628,0.029472334502833996
264,6.0,239.4162065767527,0.025060960098691163
265,2.0,240.79304640497284,0.00830588769011353
266,7.0,233.59850275670985,0.02996594548934425
267,3.0,240.1092260614133,0.012494313730504813
268,5.0,242.81189110435824,0.02059207223031366
269,5.0,244.19469683442236,0.020475465130146864
270,5.0,238.3000900532359,0.020981947589205727
271,6.0,224.89139597552324,0.026679544470669874
272,6.0,230.8769930143796,0.0259878644539792
273,3.0,237.47058518207075,0.012633143585761892
274,5.0,230.47090084668835,0.021694712788605155
275,8.0,231.46049320660276,0.034563133816789895
276,6.0,236.82553198370064,0.025335106184467247
277,5.0,232.1764834642726,0.02153534210440138
278,5.0,234.061129022557,0.021361940877923983
279,5.0,234.48606588963335,0.021323228657660936
280,3.0,227.63879406550194,0.013178773030825163
281,6.0,230.180925202514,0.02606645183444796
282,5.0,222.50522625363647,0.022471382286995984
283,4.0,235.36842520251417,0.016994632974063305
284,6.0,233.593298936667,0.02568566832744098
285,2.0,232.7290222413704,0.008593685397456526
286,7.0,226.9675368548658,0.030841415019083294
287,4.0,233.983463979612,0.01709522515808441
288,6.0,243.07185232726025,0.024684059230033303
289,5.0,242.06005127613804,0.020656031318014075
290,2.0,243.82109024545906,0.008202735858438514
291,3.0,235.08105146836118,0.012761555987866425
292,4.0,234.99526503073426,0.017021619561044574
293,4.0,239.19532816365782,0.01672273463996418
294,6.0,237.06588642541618,0.02530941963211427
295,5.0,241.34774067490855,0.020716995261765958
296,8.0,238.00491058901875,0.03361275185541953
297,5.0,245.7886046667313,0.020342684343643922
298,4.0,238.80928919433674,0.016749767203339
299,6.0,234.3629057178536,0.02560132108629563
300,6.0,234.45649788554482,0.025591101351897842
301,7.0,232.55040571785355,0.030101001021227588
302,7.0,237.43428919433674,0.02948184116014766
303,6.0,238.8252163190829,0.025122975255609893
304,7.0,240.8189347526212,0.029067481787471067
305,3.0,246.5948231002695,0.01216570551758968
306,3.0,236.52375528840412,0.012683715410919146
307,5.0,232.3717891943368,0.021517241905033523
308,4.0,226.56036694075576,0.017655338636726244
309,6.0,221.1047843231718,0.027136454863999068
310,3.0,230.9546580573246,0.01298956264937241
311,5.0,233.33562395916866,0.02142836106703942
312,5.0,229.98575022501575,0.021740477377872543
313,3.0,227.5171580573246,0.013185818711941402
314,4.0,221.7423474560951,0.018038953974689017
315,7.0,227.0001531861594,0.030836983595598746
316,2.0,226.68428919433674,0.00882284346704503
317,8.0,231.65288136202787,0.03453442906888594
318,3.0,230.82077458084137,0.012997097013680183
319,4.0,224.13175041723895,0.017846645968514877
320,9.0,232.9091629284897,0.038641674234015766
321,3.0,241.09190552563038,0.012443387485197304
322,4.0,232.75199301437956,0.017185674537931357
323,7.0,228.0840997955661,0.03069043395078467
324,3.0,233.45986187736744,0.01285017465475864
325,5.0,227.5304832720493,0.02197507748454828
326,4.0,232.5375269203123,0.01720152464410938
327,6.0,230.5160803109056,0.026028552940461146
328,0.0,0.0,0.0
329,5.0,223.61887161969756,0.02235947245321657
330,6.0,222.8681095378964,0.026921752118060492
331,6.0,223.03079893666708,0.026902114096375492
332,7.0,225.57965805732454,0.031031166818335867
333,6.0,219.3432989366671,0.027354380229926385
334,5.0,225.6539591084468,0.02215782084991939
335,4.0,217.9808620695906,0.018350234795947346
336,6.0,217.52451737020533,0.027583097632110087
337,3.0,223.9646192802268,0.013394972874025114
338,5.0,220.6620805031288,0.02265908120053778
339,2.0,228.5289591084468,0.008751626086262941
340,3.0,224.41468241315033,0.01336810928652592
341,4.0,225.53156101846832,0.017735876885419367
342,7.0,224.8851144090616,0.03112700464143277
343,4.0,235.9332114479178,0.01695395055003945
344,3.0,233.86626970967626,0.012827843894394123
345,5.0,233.99494936611654,0.021367982572037605
346,3.0,237.6410803109057,0.012624079961575253
347,3.0,235.77940552563038,0.012723757587360128
348,5.0,239.33930361560905,0.020890843770608822
349,4.0,230.122551276138,0.017382042645616932
350,3.0,230.9727406749087,0.012988545709913289
351,6.0,231.11366779965476,0.025961251262738873
352,5.0,236.0582114479179,0.021181216147200886
353,3.0,234.3884784008842,0.012799263941928823
354,2.0,239.89812395916863,0.008336872198051895
355,3.0,235.9528182291045,0.012714406305955083
356,5.0,222.1879688507771,0.02250346868852306
357,5.0,228.59666292848976,0.021872585259759953
358,3.0,227.2904444949514,0.013198971063944734
359,5.0,227.0234396237864,0.022024157541995607
360,7.0,226.44837649086284,0.03091212270308526
361,2.0,234.0840997955662,0.008543937848605137
362,4.0,231.3466629284896,0.017290070015993357
363,2.0,231.7519930143796,0.008629914996570948
364,3.0,233.8973618773675,0.012826138678609387
365,2.0,239.19101717798213,0.008361518018512372
366,3.0,237.03124535385055,0.012656559246108966
367,7.0,226.38955614730318,0.030920154264737206
368,6.0,231.1358764908626,0.025958756775853426
369,3.0,233.94393475262117,0.012823585288382379
370,3.0,221.1103038078322,0.013567888733974656
371,2.0,229.9084008466885,0.008699116659654706
372,2.0,224.14063389372203,0.008922969321788904
373,1.0,217.79704172603098,0.004591430590953158
374,6.0,226.34774067490855,0.02650788553095163
375,5.0,222.1694398160094,0.022505345488293853
376,6.0,218.48898346427256,0.02746133880466849
377,4.0,217.87286694075564,0.01835933063242651
378,2.0,216.7120173702053,0.009228837534115311
379,3.0,220.55560953789643,0.013602011784173335
380,4.0,219.66284258493002,0.018209725199442632
381,2.0,224.669886233193,0.008901949582705211
382,4.0,222.4387309325784,0.01798247986414024
383,4.0,217.02267754198505,0.01843125356900162
384,3.0,217.7604300736793,0.013776607618679616
385,1.0,217.72978432317169,0.00459284889804383
386,6.0,212.14247372194228,0.02828287940049324
387,3.0,215.37730867899728,0.013929043957324498
388,5.0,230.12178919433688,0.021727625260976574
389,2.0,230.01531822910437,0.008695073073385143
390,3.0,223.3851144090615,0.013429722065125691
391,7.0,230.6277550961808,0.030351940932177593
392,3.0,218.72350275670985,0.013715947130459752
393,2.0,220.38695423728174,0.009074947321276923
394,2.0,221.83073580374355,0.009015883181172087
395,4.0,223.14843962378632,0.017925287789346583
396,4.0,224.442094924401,0.017821968741413338
397,2.0,239.72287142747444,0.008342966977204252
398,3.0,236.45542013912555,0.012687380979614936
399,5.0,234.32306082624518,0.02133806200025524
400,1.0,227.12255127613804,0.004402909329704514
