time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,9.0,192.68936226181376,0.0467073007786044
1,11.0,201.34621651130612,0.05463226570926065
2,7.0,207.3788328425999,0.03375465038571697
3,10.0,214.8832745808415,0.046536893201699084
4,10.0,215.06296885077708,0.04649800964543816
5,11.0,200.7282601595691,0.054800455059270385
6,12.0,207.78708050312886,0.05775142502095699
7,9.0,199.72337200414412,0.045062327506733946
8,11.0,193.18155653174958,0.05694125359318212
9,5.0,193.92159530884732,0.02578361627046642
10,10.0,183.4056681841013,0.05452394192071573
11,12.0,194.5217847076179,0.06168974862140494
12,8.0,204.87870209003398,0.03904749453403116
13,10.0,207.2696292147801,0.04824633516200121
14,6.0,198.20040123113483,0.030272390785944958
15,5.0,199.97996923522362,0.025002504096391875
16,5.0,204.63054191825424,0.024434280206311523
17,7.0,207.07616331293607,0.033803987325289164
18,9.0,209.5688040000555,0.04294532310256261
19,8.0,208.35357582418692,0.038396269266578686
20,11.0,205.56696417183528,0.053510543604686406
21,5.0,207.90795442950497,0.024049103911006647
22,11.0,204.03923599596655,0.05391119970777311
23,8.0,209.58917286304325,0.038169910643369095
24,9.0,208.84577009412263,0.04309400183658917
25,7.0,203.34424593052026,0.034424382002880956
26,11.0,202.63606140291475,0.054284513446636574
27,10.0,206.59469234770359,0.048403954072400716
28,10.0,199.028828355881,0.05024397763181886
29,11.0,205.18308069535195,0.05361065816304992
30,11.0,208.29811947244988,0.05280892610965166
31,8.0,216.45313389372194,0.03695950183806525
32,7.0,209.2141728630431,0.03345853631332318
33,10.0,216.87838642541627,0.04610879011421899
34,8.0,204.29995930067014,0.03915810863293578
35,8.0,212.03111460128474,0.0377303114924602
36,15.0,217.7755951166241,0.06887824134732425
37,11.0,224.9923474560952,0.04889055172041587
38,11.0,229.27527945200657,0.04797726133533115
39,11.0,222.7478669407557,0.049383188943962694
40,14.0,230.6077018978108,0.06070916055615445
41,13.0,231.96017754198505,0.056044102646226786
42,6.0,229.72610466673117,0.02611805919359637
43,8.0,221.41576015956917,0.03613112270885589
44,10.0,223.9620173702053,0.04465042830664529
45,11.0,224.4664591084469,0.049005094318726475
46,7.0,226.53524067490875,0.030900269552521443
47,16.0,225.09513876488728,0.07108105527197574
48,6.0,222.48974554607383,0.026967534999304058
49,9.0,221.58809511662432,0.04061590039511463
50,10.0,229.30116779965476,0.043610767864632985
51,10.0,216.99526503073437,0.046083954866866055
52,13.0,212.6383476483184,0.06113666769787283
53,10.0,216.31068260537361,0.0462298018736481
54,6.0,225.59145910844686,0.02659675159561633
55,9.0,216.79888155425118,0.04151312929051188
56,8.0,212.55700294893296,0.037636962739458685
57,10.0,209.40719234770356,0.04775385166043302
58,11.0,226.8340997955661,0.04849359073399341
59,8.0,231.90916292848968,0.03449626525738803
60,10.0,222.57997372194237,0.0449276717612182
61,7.0,223.78416292848956,0.031280140240472945
62,8.0,224.42280380783217,0.03564700139318377
63,8.0,226.4897455460738,0.035321687437600106
64,9.0,231.9039591084468,0.03880916925524014
65,10.0,228.82293007367932,0.04370191395058211
