time after 16 h AEL (min),number of new branches (#/min),total length (µm),lineic branching rate lambda (µm^-1.min^-1)
0,10.0,203.7866340859453,0.04907093168722039
1,8.0,207.53815824954762,0.03854712823644053
2,9.0,202.60173599596664,0.044422126768840574
3,10.0,211.00078451539474,0.04739318871712723
4,10.0,225.42280380783225,0.0443610842873056
5,5.0,222.50046885077714,0.02247186275977385
6,8.0,215.16576015956915,0.03718063689160914
7,13.0,227.78156101846838,0.05707222279921933
8,3.0,237.11335213503713,0.01265217657709755
9,9.0,224.05116779965488,0.04016939562684066
10,5.0,229.494633701499,0.021787001810697856
11,6.0,234.72134726387205,0.0255622254641153
12,7.0,239.5704589162236,0.02921896143483976
13,7.0,229.9805464049728,0.03043735702616211
14,6.0,249.975473337496,0.024002354790621003
15,13.0,238.4380996033428,0.054521488057597926
16,8.0,241.6182402904622,0.033110083040017065
17,14.0,234.05345404505846,0.05981539583391412
18,9.0,233.52572586918996,0.03853965110910895
19,7.0,224.700216319083,0.03115261798439806
20,9.0,227.42172606141324,0.0395740554601614
21,4.0,238.06005127613795,0.01680248314892698
22,6.0,227.72794449495157,0.026347227668113486
23,10.0,221.39215805732456,0.045168718204602006
24,9.0,225.84742501029095,0.03984991194648293
25,7.0,241.0183665563092,0.02904342976021534
26,5.0,246.2709684663306,0.020302839718127734
27,11.0,233.63295891622369,0.04708239818143291
28,12.0,227.7653182291043,0.0526858087671164
29,4.0,237.97210934567318,0.016808692459794463
30,7.0,242.61671612685993,0.02885209276486879
31,6.0,237.30192988145626,0.025284244434915844
32,8.0,233.9402550961808,0.03419676530963398
33,14.0,236.5563716196976,0.05918251072309839
34,9.0,242.9525025644866,0.0370442778115082
35,9.0,229.96277945200663,0.0391367682259133
36,8.0,237.64843962378637,0.03366317074357628
37,9.0,228.38619215548064,0.03940693574799384
38,7.0,235.10110466673132,0.029774424113926997
39,12.0,228.99310953789643,0.05240332350705121
40,6.0,234.60186674853264,0.02557524406415461
41,11.0,236.88740065446524,0.046435563772533016
42,11.0,238.5516142168383,0.04611161419348534
43,11.0,254.2665267280892,0.04326169135020797
44,8.0,258.50243943156323,0.03094748358116731
45,7.0,261.0775025644866,0.02681196170195089
46,10.0,261.0301676074317,0.038309748224347746
47,6.0,251.25827458084126,0.023879810565480605
48,7.0,259.67997820866105,0.026956256112957922
49,8.0,243.457259967346,0.032859977151936275
50,7.0,241.6847356115203,0.02896335170811811
51,7.0,255.9292161268596,0.02735131262438683
52,8.0,240.61411421683843,0.03324825738522762
53,10.0,249.4318180368812,0.040091116196416414
54,6.0,256.2254733374958,0.023416875464590915
55,3.0,257.9440655051871,0.011630428457907948
56,7.0,253.1282015133643,0.027653971221497514
57,4.0,249.8682402904623,0.016008437068072968
58,9.0,247.6773762986395,0.03633759423044016
59,5.0,244.6137985522206,0.020440384105856527
60,12.0,245.4906383804408,0.048881701066756794
61,5.0,253.41957056857535,0.019730125770404932
62,4.0,254.27280829455094,0.015731135495095406
63,6.0,253.58638604096996,0.02366057615975736
64,5.0,228.7316241513918,0.021859679519831608
65,6.0,234.32597840088405,0.025605355586034176
66,6.0,244.99907543974044,0.024489888336234764
67,6.0,231.42172606141338,0.025926692805012412
68,7.0,220.40871651130624,0.03175917954061914
69,5.0,219.91576015956917,0.022735978523649412
70,6.0,224.53156101846827,0.026722301189125414
71,11.0,226.2127794520065,0.0486267841571425
72,4.0,229.0412065767528,0.017464106392836264
73,9.0,222.18505127613804,0.040506775538263096
74,6.0,225.95941546018375,0.02655344096983318
75,9.0,234.19133284259968,0.03843011562707537
76,4.0,235.8814347526212,0.01695767199396158
77,11.0,236.79196865855394,0.046454278252408256
78,8.0,246.5094830798261,0.03245311255392716
79,4.0,236.06525509618075,0.016944467318455097
80,10.0,227.55224554607375,0.04394595173518182
81,6.0,233.09666292848976,0.025740394240824895
82,6.0,237.99939110435824,0.02521014853088054
83,7.0,225.24786694075576,0.031076875866003766
84,7.0,229.7852406749087,0.030463227226605605
85,5.0,225.35662415139186,0.022187055822424195
86,7.0,237.74831335793925,0.02944290077659239
87,5.0,242.80821144791784,0.02059238429451755
88,6.0,228.99602711253556,0.02620132792544658
89,9.0,231.3377794520066,0.03890415141581811
90,5.0,226.398755288404,0.022084927073166186
91,7.0,224.781876683086,0.031141300639059587
92,3.0,235.29672606141332,0.012749858658114049
93,4.0,221.28371651130624,0.018076341373250683
94,9.0,230.99418728431536,0.038962019372905256
95,8.0,232.4091629284896,0.034422050745312203
96,6.0,242.9687453538506,0.024694534234277022
97,4.0,241.6214735297192,0.01655481998998737
98,8.0,236.92953179147744,0.033765313844627984
99,3.0,236.31893475262117,0.012694708543521501
100,5.0,224.3399349448445,0.022287605642879786
101,4.0,222.63067267082002,0.01796697621227767
102,7.0,245.28016760743162,0.028538793283945516
103,4.0,228.38067267082,0.017514616947317
104,4.0,230.43949301437954,0.017358135741734157
105,7.0,227.4002794520065,0.030782723824564918
106,8.0,226.63327458084134,0.035299317872876414
107,7.0,233.3814347526212,0.029993816806464638
108,3.0,235.9609396237863,0.012713968696612114
109,8.0,222.163920331349,0.03600944738492328
110,6.0,229.00123093257844,0.02620073252692032
111,9.0,227.28524067490855,0.039597819784844335
112,5.0,233.08701737020516,0.021451216187037346
113,6.0,230.71906101846807,0.02600565368771038
114,6.0,246.3955220491472,0.02435109189526266
115,5.0,239.0401288303337,0.020916990065500293
116,7.0,227.1787697096761,0.030812738395166392
117,5.0,230.41880848677405,0.021699617461076307
118,5.0,232.70986187736744,0.021485982414595223
119,5.0,231.66804640497293,0.021582605273321245
120,1.0,234.3152550961808,0.004267754566767426
121,2.0,238.4554201391258,0.008387311971491814
122,6.0,225.6029444949515,0.02659539756199533
123,6.0,243.44622099802484,0.024646100380620324
124,6.0,245.91589091213504,0.024398585946378636
125,4.0,249.7835315992542,0.016013865983837115
126,7.0,242.99247820866105,0.02880747606511919
127,8.0,248.37636168514416,0.03220918426263627
128,7.0,245.17293456039806,0.028551275500907945
129,3.0,268.6223663640861,0.011168094602866585
130,4.0,256.26728880989026,0.015608703001370442
131,8.0,268.6833422004836,0.0297748268816406
132,7.0,256.10859473217783,0.02733215574947868
133,5.0,253.55237629863956,0.0197197915199615
134,0.0,0.0,0.0
135,8.0,239.7090997955661,0.033373785170536845
136,4.0,250.1943811698047,0.015987569270331597
137,6.0,255.13264325160594,0.023517178842861506
138,12.0,237.541968658554,0.0505173888545521
139,9.0,241.73651230681693,0.0372306190492937
140,7.0,254.81094411050495,0.027471347529579734
141,8.0,229.0848618773673,0.03492155672984854
142,4.0,242.6318811698048,0.016485879682071203
143,8.0,247.70110915345006,0.03229698900962137
144,7.0,251.9181771575386,0.027786799979989164
145,5.0,235.1533277792113,0.021262722697654394
146,5.0,243.23619664219913,0.02055615105409253
147,4.0,234.45174048268544,0.017061080424333235
148,7.0,228.4136046667314,0.03064616054815738
149,8.0,231.5404444949514,0.03455119911102371
150,7.0,243.35002692031225,0.028765149889595987
151,4.0,230.72274067490875,0.01733682595958779
152,8.0,250.471347263872,0.0319397810863052
153,4.0,243.5526919632573,0.01642355076331263
154,2.0,232.7519930143796,0.008592837268965677
155,4.0,245.45434239270682,0.016296309778053665
156,5.0,251.06386168514416,0.019915251707035533
157,5.0,255.1611335092757,0.0195954608416812
158,3.0,253.40408986101264,0.011838798662032027
159,5.0,237.5749006544652,0.021045994278966883
160,4.0,246.8630364704193,0.016203316856143853
161,4.0,248.78169177103405,0.01607835356181031
162,7.0,241.19254134158456,0.02902245633743034
163,9.0,242.8308665563092,0.03706283359950462
164,5.0,249.38372099802484,0.020049424156437224
165,6.0,242.14552204914716,0.024778488361978494
166,7.0,246.54793456039795,0.0283920447862652
167,6.0,243.9525025644866,0.024594951627577404
168,4.0,241.30897352971905,0.01657625881661367
169,3.0,254.587148122771,0.011783784146689498
170,7.0,247.071983079826,0.028331824243052212
171,7.0,251.52801211459368,0.02782990228862012
172,3.0,241.7650025644866,0.012408743896668016
173,5.0,238.4114491738934,0.020972147173825877
174,8.0,239.3374637873888,0.0334256069793848
175,6.0,242.67737629863956,0.024724183570438724
176,11.0,235.2882890021134,0.04675115810758093
177,8.0,233.87407543974044,0.034206442013541026
178,5.0,234.39812395916863,0.021331228746826417
179,6.0,243.42997820866105,0.024647744883980457
180,5.0,243.50059960334295,0.02053383034023279
181,6.0,239.83714812277094,0.025016975255762474
182,5.0,246.98251698575882,0.020244347903735645
183,6.0,245.9843568139791,0.02439179498124502
184,5.0,242.34679368105546,0.020631591299616423
185,5.0,244.3974926299331,0.020458475028510233
186,9.0,234.6925413415845,0.03834804441825402
187,7.0,238.2424782086608,0.029381830027259723
188,6.0,229.79717247859682,0.02610998183869663
189,5.0,243.163735419297,0.02056227665436336
190,5.0,245.24768202870388,0.020387552529099125
191,4.0,244.9566286381107,0.01632942134384713
192,5.0,242.72547333749594,0.020599403644164637
193,5.0,242.77617228637342,0.02059510187063214
194,7.0,244.02617228637362,0.02868544768954227
195,7.0,244.37344411050506,0.028644683654066017
196,6.0,237.28016760743162,0.02528656339254912
197,5.0,243.2827695174529,0.020552215884081772
198,3.0,234.09006569741024,0.012815580153144403
199,8.0,238.89920170558756,0.03348692646473959
200,6.0,236.7305464049729,0.025345271622597667
201,6.0,231.84742501029075,0.02587908836914486
