time_min,frame_index,tubulin_length_um,n_tubulin_tips
0.0,10,49.49461126790529,18.0
10.0,20,47.78566465849856,20.0
20.0,30,58.50685873621111,25.0
30.0,40,58.00609665440989,23.0
40.0,50,70.71993141924172,27.0
50.0,60,70.95032463805519,28.0
100.0,110,67.65743141924175,28.0
110.0,120,64.83344603273714,25.0
120.0,130,63.35489264214387,27.0
130.0,140,64.78350916566066,27.0
140.0,150,75.85121298570353,32.0
150.0,160,68.78871298570351,34.0
160.0,170,76.64302845809803,29.0
170.0,180,75.15743141924175,29.0
180.0,190,70.01834412271573,27.0
190.0,200,71.98801403682585,33.0
200.0,210,83.69848480983507,32.0
210.0,220,85.06796532517451,33.0
220.0,230,84.94848480983508,31.0
