time (min),1_rescaled_25.06.11_RluvCM_JF649_1_min_movie-1,2_rescaled_25.06.11_RluvCM_JF649_1_min_movie-1,Elise-Movie_every2min_12h10_proj-1-2,Elise-e1-ev2min_8h_stk-1-1-2,Elise-ppkgal4_CM_ONmovie2all_ev1min_Crop2-2,rescaled_20241001_e1_ev1min_8h_Tub_CAAX_Merged_Crop1-1
0.0,19.0,18.0,38.0,38.0,33.0,18.0
10.0,25.0,17.0,46.0,38.0,29.0,20.0
20.0,25.0,20.0,40.0,48.0,24.0,25.0
30.0,20.0,16.0,51.0,59.0,32.0,23.0
40.0,21.0,21.0,45.0,64.0,32.0,27.0
50.0,29.0,20.0,47.0,66.0,36.0,28.0
60.0,,,52.0,69.0,36.0,
70.0,,,45.0,71.0,28.0,
80.0,,,47.0,59.0,40.0,
90.0,,,41.0,70.0,29.0,
100.0,28.0,30.0,48.0,69.0,28.0,28.0
110.0,28.0,33.0,49.0,77.0,38.0,25.0
120.0,29.0,31.0,45.0,83.0,,27.0
130.0,27.0,28.0,,,,27.0
140.0,30.0,33.0,,,,32.0
150.0,29.0,35.0,,,,34.0
160.0,32.0,30.0,,,,29.0
170.0,27.0,23.0,,,,29.0
180.0,38.0,27.0,,,,27.0
190.0,36.0,29.0,,,,33.0
200.0,41.0,34.0,,,,32.0
210.0,48.0,35.0,,,,33.0
220.0,33.0,40.0,,,,31.0
230.0,34.0,33.0,,,,
