time (min),1_rescaled_25.06.11_RluvCM_JF649_1_min_movie-1,2_rescaled_25.06.11_RluvCM_JF649_1_min_movie-1,Elise-Movie_every2min_12h10_proj-1-2,Elise-e1-ev2min_8h_stk-1-1-2,Elise-ppkgal4_CM_ONmovie2all_ev1min_Crop2-2,rescaled_20241001_e1_ev1min_8h_Tub_CAAX_Merged_Crop1-1
0.0,38.79854345603982,40.51637354192973,143.7295228180401,228.48714363605237,84.2436642740522,49.49461126790529
10.0,48.743849186104086,49.42690744786247,170.57019741109207,227.02819702664567,84.5409992311072,47.78566465849856
20.0,51.95615978733344,49.5437860531805,203.06068260537333,247.71982310026945,85.49626618407355,58.50685873621111
30.0,55.77494135379519,44.935028842544405,183.8491340859453,285.11608479762424,110.13687764420204,58.00609665440989
40.0,58.09556274847717,50.09296083845575,203.61950294893308,296.3683710430281,141.51353256037032,70.71993141924172
50.0,59.58407736197256,49.981286053180526,217.93612902255688,308.42674496940384,137.5467802208994,70.95032463805519
60.0,,,208.96385719842547,304.45707505529407,150.84011985689634,
70.0,,,160.8027461227434,325.2378515583675,176.49742052357217,
80.0,,,236.20389597552332,310.4797301636853,181.1024980777679,
90.0,,,245.81157543974044,347.62554544385694,170.4448817464744,
100.0,66.052353865046,58.11409178324475,268.06233752154174,355.12846301849567,177.12457601641012,67.65743141924175
110.0,66.5016549161683,66.39702377915609,277.11303647041944,376.2295452516337,183.58764869944068,64.83344603273714
120.0,63.782747083859455,57.50977631085026,301.3025070512052,400.72631201237664,,63.35489264214387
130.0,66.91218882210106,60.88369856443131,,,,64.78350916566066
140.0,70.45324221269432,70.0845237791561,,,,75.85121298570353
150.0,82.27875176280143,72.57900429449556,,,,68.78871298570351
160.0,79.28611107568211,75.29239264214388,,,,76.64302845809803
170.0,77.23065472394512,70.61745577506741,,,,75.15743141924175
180.0,79.0904896810002,72.49321785686863,,,,70.01834412271573
190.0,80.23585854398797,69.60673247036404,,,,71.98801403682585
200.0,81.27798968100021,79.76390238447416,,,,83.69848480983507
210.0,80.36377611862709,78.04499455216528,,,,85.06796532517451
220.0,81.84048968100016,84.79499455216532,,,,84.94848480983508
230.0,80.05387802864851,90.36714011044972,,,,
